ip.src,ip.dst,packets,bytes
72.21.195.82,192.168.2.3,10,4317
192.168.2.3,54.231.40.211,48,3713
192.168.2.3,72.21.195.82,14,3491
192.168.2.3,176.32.101.46,13,3430
192.168.2.3,52.46.129.109,15,3336
192.168.2.3,13.32.118.248,44,2992
52.216.96.171,192.168.2.3,10,2940
192.168.2.3,13.32.118.30,41,2786
192.168.69.73,224.0.0.251,14,2755
192.168.2.3,13.32.118.7,40,2720
192.168.2.3,52.119.162.179,15,2662
207.171.178.6,192.168.2.3,29,2610
192.168.2.3,52.94.240.240,11,2288
192.168.2.3,72.21.207.143,11,2288
192.168.2.3,54.239.26.244,11,2256
52.216.131.3,192.168.2.3,12,2222
192.168.2.3,13.32.118.117,32,2176
192.168.69.241,224.0.0.251,8,2134
192.168.2.3,104.199.64.136,10,1728
192.168.2.3,13.32.99.123,13,1695
13.32.118.30,192.168.2.3,23,1610
52.216.102.99,192.168.2.3,7,1584
52.216.100.51,192.168.2.3,7,1584
52.216.104.43,192.168.2.3,7,1584
52.216.168.107,192.168.2.3,7,1584
52.216.100.131,192.168.2.3,7,1584
52.216.104.139,192.168.2.3,7,1584
52.216.100.179,192.168.2.3,7,1584
54.231.33.155,192.168.2.3,7,1584
13.32.118.248,192.168.2.3,22,1540
52.216.18.224,192.168.2.3,6,1530
192.168.2.3,52.216.131.3,16,1488
13.32.118.7,192.168.2.3,20,1400
192.168.69.1,192.168.69.192,3,1303
13.32.118.117,192.168.2.3,17,1186
192.168.2.3,52.216.96.171,13,1184
52.216.161.219,192.168.2.3,6,1111
52.216.80.0,192.168.2.3,6,1111
52.216.65.0,192.168.2.3,6,1111
52.216.131.91,192.168.2.3,6,1111
52.216.16.224,192.168.2.3,6,1111
52.216.227.0,192.168.2.3,6,1111
54.231.120.227,192.168.2.3,6,1111
54.231.114.154,192.168.2.3,6,1111
54.231.82.138,192.168.2.3,6,1111
54.231.81.48,192.168.2.3,6,1111
54.231.33.211,192.168.2.3,6,1111
54.231.98.104,192.168.2.3,6,1111
54.231.82.146,192.168.2.3,6,1111
52.216.18.120,192.168.2.3,6,1111
52.216.18.80,192.168.2.3,6,1111
52.216.169.171,192.168.2.3,6,1111
52.216.134.83,192.168.2.3,6,1111
52.216.132.59,192.168.2.3,6,1111
52.216.131.83,192.168.2.3,6,1111
52.216.17.40,192.168.2.3,6,1111
52.216.129.187,192.168.2.3,6,1111
52.216.105.243,192.168.2.3,6,1111
52.216.17.216,192.168.2.3,6,1111
52.216.168.91,192.168.2.3,6,1111
52.216.230.235,192.168.2.3,6,1111
52.216.83.32,192.168.2.3,6,1111
52.216.64.208,192.168.2.3,6,1111
52.216.132.195,192.168.2.3,6,1111
52.216.130.235,192.168.2.3,6,1111
192.168.2.3,52.216.104.139,17,1108
192.168.2.3,52.216.132.195,17,1096
52.216.165.251,192.168.2.3,5,1057
52.216.16.8,192.168.2.3,5,1057
52.216.164.243,192.168.2.3,5,1057
52.216.133.59,192.168.2.3,5,1057
54.231.82.82,192.168.2.3,5,1057
54.231.40.219,192.168.2.3,5,1057
54.231.50.91,192.168.2.3,5,1057
52.216.232.195,192.168.2.3,5,1057
52.216.65.248,192.168.2.3,5,1057
52.216.86.83,192.168.2.3,5,1057
52.216.65.224,192.168.2.3,5,1057
52.216.64.112,192.168.2.3,5,1057
52.216.160.251,192.168.2.3,5,1057
52.216.227.176,192.168.2.3,5,1057
52.216.169.107,192.168.2.3,5,1057
52.216.226.224,192.168.2.3,5,1057
52.216.228.224,192.168.2.3,5,1057
52.216.161.3,192.168.2.3,5,1057
52.216.128.75,192.168.2.3,5,1057
192.168.2.3,52.216.169.171,16,1042
192.168.2.3,52.216.18.224,16,1042
192.168.2.3,52.216.232.195,16,1030
192.168.2.3,52.216.86.83,16,1030
192.168.2.3,52.216.133.59,16,1030
192.168.2.3,54.231.82.82,16,1030
192.168.2.3,54.231.50.91,16,1030
192.168.2.3,52.216.164.243,16,1030
192.168.2.3,52.216.160.251,16,1030
192.168.2.3,52.216.161.3,16,1030
192.168.2.3,52.216.65.224,16,1030
192.168.2.3,52.216.227.176,16,1030
192.168.2.3,52.216.228.224,16,1030
192.168.2.3,52.216.169.107,16,1030
192.168.2.3,54.231.40.219,16,1030
192.168.2.3,52.216.128.75,16,1030
104.199.64.136,192.168.2.3,10,1016
192.168.2.3,52.216.165.251,15,976
192.168.2.3,52.216.226.224,15,976
192.168.2.3,52.216.16.8,14,922
192.168.2.3,52.216.168.107,9,810
192.168.2.3,52.216.100.131,9,810
192.168.2.3,52.216.100.51,9,810
192.168.2.3,54.231.33.155,9,810
192.168.2.3,52.216.104.43,9,810
192.168.2.3,52.216.100.179,9,810
192.168.2.3,52.216.102.99,9,810
192.168.2.3,54.231.114.154,8,744
192.168.2.3,54.231.120.227,8,744
192.168.2.3,54.231.82.138,8,744
192.168.2.3,52.216.168.91,8,744
192.168.2.3,52.216.17.216,8,744
192.168.2.3,52.216.17.40,8,744
192.168.2.3,52.216.18.120,8,744
192.168.2.3,54.231.33.211,8,744
192.168.2.3,54.231.81.48,8,744
192.168.2.3,52.216.80.0,8,744
192.168.2.3,52.216.83.32,8,744
192.168.2.3,52.216.18.80,8,744
192.168.2.3,52.216.161.219,8,744
192.168.2.3,52.216.134.83,8,744
192.168.2.3,52.216.16.224,8,744
192.168.2.3,52.216.64.208,8,744
192.168.2.3,52.216.65.0,8,744
192.168.2.3,52.216.227.0,8,744
192.168.2.3,52.216.230.235,8,744
192.168.2.3,52.216.132.59,8,744
192.168.2.3,52.216.131.91,8,744
192.168.2.3,52.216.129.187,8,744
192.168.2.3,52.216.131.83,8,744
192.168.2.3,54.231.82.146,8,744
192.168.2.3,54.231.98.104,8,744
192.168.2.3,52.216.105.243,8,744
192.168.2.3,52.216.130.235,8,744
13.32.99.46,192.168.2.3,4,736
192.168.69.129,192.168.69.255,8,688
192.168.2.3,13.32.99.46,6,589
192.168.2.3,172.217.23.238,5,514
192.168.2.3,52.216.64.112,6,490
192.168.2.3,52.216.65.248,6,490
192.168.2.3,224.0.0.22,8,432
192.168.69.192,192.168.69.73,1,400
192.168.69.136,224.0.0.251,1,392
172.217.23.238,192.168.2.3,4,355
192.168.69.136,192.168.69.255,3,258
192.168.69.17,224.0.0.251,1,241
192.168.69.73,224.0.0.22,4,216
78.108.102.237,192.168.2.3,2,180
192.168.2.3,78.108.102.237,2,180
192.168.2.3,78.108.145.1,2,180
78.108.145.1,192.168.2.3,2,180
192.168.69.136,239.255.255.250,1,167
192.168.69.129,239.255.255.250,1,167
8.8.8.8,192.168.2.3,1,153
192.168.69.178,224.0.0.2,2,92
192.168.2.3,8.8.8.8,1,89
192.168.69.241,224.0.0.22,1,54
192.168.69.200,224.0.0.2,1,46
