frame,time,src,dst,handshake_version,num_ciphers,num_extensions,ja3_string,ja3_hash
531,1537523554.131914000,192.168.2.3,13.32.118.129,0x303,22,5,"771,49195-49196-49199-49200-158-159-49161-49162-49171-49172-51-57-50-56-49159-49169-156-157-47-53-5-255,0-11-10-35-13,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",bdf21e38e1f69776df407235625e75e2
672,1537523554.953758000,192.168.2.3,13.32.118.129,0x303,22,5,"771,49195-49196-49199-49200-158-159-49161-49162-49171-49172-51-57-50-56-49159-49169-156-157-47-53-5-255,0-11-10-35-13,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",bdf21e38e1f69776df407235625e75e2
1244,1537523556.001063000,192.168.2.3,54.239.31.37,0x303,22,5,"771,49195-49196-49199-49200-158-159-49161-49162-49171-49172-51-57-50-56-49159-49169-156-157-47-53-5-255,0-11-10-35-13,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",bdf21e38e1f69776df407235625e75e2
1335,1537523560.409932000,192.168.2.3,52.119.196.25,0x303,22,5,"771,49195-49196-49199-49200-158-159-49161-49162-49171-49172-51-57-50-56-49159-49169-156-157-47-53-5-255,0-11-10-35-13,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",bdf21e38e1f69776df407235625e75e2
1405,1537523564.607293000,192.168.2.3,52.119.196.25,0x303,23,10,"771,49196-49195-49188-49187-49162-49161-52393-49200-49199-49192-49191-49172-49171-52392-157-156-61-60-53-47-49160-49170-10,65281-0-23-13-5-13172-18-16-11-10,29-23-24-25,0",5c118da645babe52f060d0754256a73c
1441,1537523566.710666000,192.168.2.3,52.119.196.25,0x303,22,5,"771,49195-49196-49199-49200-158-159-49161-49162-49171-49172-51-57-50-56-49159-49169-156-157-47-53-5-255,0-11-10-35-13,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",bdf21e38e1f69776df407235625e75e2
1492,1537523569.650633000,192.168.2.3,54.239.27.11,0x303,13,3,"771,49195-49187-49199-49191-49161-49171-158-103-51-156-60-47-255,11-10-13,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",8b4915ab1868b8265854db0782853eeb
1493,1537523569.706516000,192.168.2.3,52.46.136.77,0x303,64,4,"771,49200-49196-49192-49188-49172-49162-163-159-107-106-57-56-49202-49198-49194-49190-49167-49157-157-61-53-49199-49195-49191-49187-49171-49161-162-158-103-64-51-50-49201-49197-49193-49189-49166-49156-156-60-47-49169-49159-49164-49154-5-4-49170-49160-22-19-49165-49155-10-21-18-9-20-17-8-6-3-255,11-10-35-13,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",bf4ab5d0163ca386558596b9c1d36c26
2585,1537523572.442853000,192.168.2.3,54.239.27.11,0x303,13,3,"771,49195-49187-49199-49191-49161-49171-158-103-51-156-60-47-255,11-10-13,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",8b4915ab1868b8265854db0782853eeb
241554,1537523644.172635000,192.168.2.3,52.46.129.41,0x303,22,6,"771,49195-49196-49199-49200-158-159-49161-49162-49171-49172-51-57-50-56-49159-49169-156-157-47-53-5-255,0-11-10-35-13-21,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",69415598724855f70b37da9f653ec421
252862,1537523647.393950000,192.168.2.3,54.239.29.194,0x303,64,5,"771,49200-49196-49192-49188-49172-49162-163-159-107-106-57-56-49202-49198-49194-49190-49167-49157-157-61-53-49199-49195-49191-49187-49171-49161-162-158-103-64-51-50-49201-49197-49193-49189-49166-49156-156-60-47-49169-49159-49164-49154-5-4-49170-49160-22-19-49165-49155-10-21-18-9-20-17-8-6-3-255,0-11-10-13-21,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",d9059af989f5b1725965091c0d494bb7
364820,1537523791.195632000,192.168.2.3,205.251.243.55,0x303,13,3,"771,49195-49187-49199-49191-49161-49171-158-103-51-156-60-47-255,11-10-13,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",8b4915ab1868b8265854db0782853eeb
365497,1537524044.061954000,192.168.2.3,72.21.207.87,0x303,22,6,"771,49195-49196-49199-49200-158-159-49161-49162-49171-49172-51-57-50-56-49159-49169-156-157-47-53-5-255,0-11-10-35-13-21,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",69415598724855f70b37da9f653ec421
367366,1537524274.541674000,192.168.2.3,52.119.162.179,0x303,22,5,"771,49195-49196-49199-49200-158-159-49161-49162-49171-49172-51-57-50-56-49159-49169-156-157-47-53-5-255,0-11-10-35-13,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",bdf21e38e1f69776df407235625e75e2
367418,1537524343.993224000,192.168.2.3,52.94.228.52,0x303,22,6,"771,49195-49196-49199-49200-158-159-49161-49162-49171-49172-51-57-50-56-49159-49169-156-157-47-53-5-255,0-11-10-35-13-21,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",69415598724855f70b37da9f653ec421
368316,1537524744.067930000,192.168.2.3,52.46.128.105,0x303,22,6,"771,49195-49196-49199-49200-158-159-49161-49162-49171-49172-51-57-50-56-49159-49169-156-157-47-53-5-255,0-11-10-35-13-21,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",69415598724855f70b37da9f653ec421
368646,1537525244.197296000,192.168.2.3,52.94.232.206,0x303,22,6,"771,49195-49196-49199-49200-158-159-49161-49162-49171-49172-51-57-50-56-49159-49169-156-157-47-53-5-255,0-11-10-35-13-21,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",69415598724855f70b37da9f653ec421
372176,1537525644.066903000,192.168.2.3,54.239.31.37,0x303,22,6,"771,49195-49196-49199-49200-158-159-49161-49162-49171-49172-51-57-50-56-49159-49169-156-157-47-53-5-255,0-11-10-35-13-21,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",69415598724855f70b37da9f653ec421
378279,1537526044.083895000,192.168.2.3,52.94.229.76,0x303,22,6,"771,49195-49196-49199-49200-158-159-49161-49162-49171-49172-51-57-50-56-49159-49169-156-157-47-53-5-255,0-11-10-35-13-21,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",69415598724855f70b37da9f653ec421
378472,1537526344.104283000,192.168.2.3,54.239.18.122,0x303,22,6,"771,49195-49196-49199-49200-158-159-49161-49162-49171-49172-51-57-50-56-49159-49169-156-157-47-53-5-255,0-11-10-35-13-21,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",69415598724855f70b37da9f653ec421
379000,1537526423.132063000,192.168.2.3,13.32.118.138,0x303,13,6,"771,49195-49199-49196-49200-49161-49171-49162-49172-156-157-47-53-255,0-11-10-35-13-16,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",2d525d28ff7764c0539c4418399b18a0
379032,1537526423.360843000,192.168.2.3,13.32.118.138,0x303,13,6,"771,49195-49199-49196-49200-49161-49171-49162-49172-156-157-47-53-255,0-11-10-35-13-16,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",2d525d28ff7764c0539c4418399b18a0
383488,1537526660.666054000,192.168.2.3,54.239.28.161,0x303,13,6,"771,49195-49199-49196-49200-49161-49171-49162-49172-156-157-47-53-255,0-11-10-35-13-16,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",2d525d28ff7764c0539c4418399b18a0
383519,1537526661.260756000,192.168.2.3,54.239.28.161,0x303,13,6,"771,49195-49199-49196-49200-49161-49171-49162-49172-156-157-47-53-255,0-11-10-35-13-16,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",2d525d28ff7764c0539c4418399b18a0
384104,1537526744.167107000,192.168.2.3,52.46.156.47,0x303,22,6,"771,49195-49196-49199-49200-158-159-49161-49162-49171-49172-51-57-50-56-49159-49169-156-157-47-53-5-255,0-11-10-35-13-21,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",69415598724855f70b37da9f653ec421
384323,1537527044.148581000,192.168.2.3,52.46.129.41,0x303,22,6,"771,49195-49196-49199-49200-158-159-49161-49162-49171-49172-51-57-50-56-49159-49169-156-157-47-53-5-255,0-11-10-35-13-21,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",69415598724855f70b37da9f653ec421
384508,1537527344.212597000,192.168.2.3,52.94.228.52,0x303,22,6,"771,49195-49196-49199-49200-158-159-49161-49162-49171-49172-51-57-50-56-49159-49169-156-157-47-53-5-255,0-11-10-35-13-21,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",69415598724855f70b37da9f653ec421
385404,1537527644.229828000,192.168.2.3,54.239.19.125,0x303,22,6,"771,49195-49196-49199-49200-158-159-49161-49162-49171-49172-51-57-50-56-49159-49169-156-157-47-53-5-255,0-11-10-35-13-21,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",69415598724855f70b37da9f653ec421
386084,1537528144.228475000,192.168.2.3,52.46.129.41,0x303,22,6,"771,49195-49196-49199-49200-158-159-49161-49162-49171-49172-51-57-50-56-49159-49169-156-157-47-53-5-255,0-11-10-35-13-21,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",69415598724855f70b37da9f653ec421
386286,1537528444.374465000,192.168.2.3,52.46.133.39,0x303,22,6,"771,49195-49196-49199-49200-158-159-49161-49162-49171-49172-51-57-50-56-49159-49169-156-157-47-53-5-255,0-11-10-35-13-21,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",69415598724855f70b37da9f653ec421
386892,1537528844.373430000,192.168.2.3,54.239.31.37,0x303,22,6,"771,49195-49196-49199-49200-158-159-49161-49162-49171-49172-51-57-50-56-49159-49169-156-157-47-53-5-255,0-11-10-35-13-21,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",69415598724855f70b37da9f653ec421
387094,1537529244.309468000,192.168.2.3,54.239.18.122,0x303,22,6,"771,49195-49196-49199-49200-158-159-49161-49162-49171-49172-51-57-50-56-49159-49169-156-157-47-53-5-255,0-11-10-35-13-21,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",69415598724855f70b37da9f653ec421
387538,1537529904.433184000,192.168.2.3,54.239.27.11,0x303,13,3,"771,49195-49187-49199-49191-49161-49171-158-103-51-156-60-47-255,11-10-13,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",8b4915ab1868b8265854db0782853eeb
387547,1537529904.545647000,192.168.2.3,52.94.240.174,0x303,64,4,"771,49200-49196-49192-49188-49172-49162-163-159-107-106-57-56-49202-49198-49194-49190-49167-49157-157-61-53-49199-49195-49191-49187-49171-49161-162-158-103-64-51-50-49201-49197-49193-49189-49166-49156-156-60-47-49169-49159-49164-49154-5-4-49170-49160-22-19-49165-49155-10-21-18-9-20-17-8-6-3-255,11-10-35-13,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",bf4ab5d0163ca386558596b9c1d36c26
387577,1537529904.702916000,192.168.2.3,72.21.195.82,0x303,22,5,"771,49195-49196-49199-49200-158-159-49161-49162-49171-49172-51-57-50-56-49159-49169-156-157-47-53-5-255,0-11-10-35-13,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",bdf21e38e1f69776df407235625e75e2
387682,1537529916.303144000,192.168.2.3,13.32.99.123,0x303,22,5,"771,49195-49196-49199-49200-158-159-49161-49162-49171-49172-51-57-50-56-49159-49169-156-157-47-53-5-255,0-11-10-35-13,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",bdf21e38e1f69776df407235625e75e2
387741,1537529933.914117000,192.168.2.3,176.32.101.46,0x303,22,5,"771,49195-49196-49199-49200-158-159-49161-49162-49171-49172-51-57-50-56-49159-49169-156-157-47-53-5-255,0-11-10-35-13,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",bdf21e38e1f69776df407235625e75e2
387767,1537529934.986353000,192.168.2.3,52.46.133.19,0x303,22,5,"771,49195-49196-49199-49200-158-159-49161-49162-49171-49172-51-57-50-56-49159-49169-156-157-47-53-5-255,0-11-10-35-13,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",bdf21e38e1f69776df407235625e75e2
387794,1537529936.412223000,192.168.2.3,52.119.168.148,0x303,22,5,"771,49195-49196-49199-49200-158-159-49161-49162-49171-49172-51-57-50-56-49159-49169-156-157-47-53-5-255,0-11-10-35-13,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",bdf21e38e1f69776df407235625e75e2
387820,1537529937.087385000,192.168.2.3,176.32.99.246,0x303,22,5,"771,49195-49196-49199-49200-158-159-49161-49162-49171-49172-51-57-50-56-49159-49169-156-157-47-53-5-255,0-11-10-35-13,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",bdf21e38e1f69776df407235625e75e2
387849,1537529938.255923000,192.168.2.3,52.119.168.148,0x303,22,5,"771,49195-49196-49199-49200-158-159-49161-49162-49171-49172-51-57-50-56-49159-49169-156-157-47-53-5-255,0-11-10-35-13,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",bdf21e38e1f69776df407235625e75e2
387867,1537529938.502325000,192.168.2.3,52.119.168.148,0x303,22,5,"771,49195-49196-49199-49200-158-159-49161-49162-49171-49172-51-57-50-56-49159-49169-156-157-47-53-5-255,0-11-10-35-13,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",bdf21e38e1f69776df407235625e75e2
387870,1537529938.633728000,192.168.2.3,52.119.168.148,0x303,22,5,"771,49195-49196-49199-49200-158-159-49161-49162-49171-49172-51-57-50-56-49159-49169-156-157-47-53-5-255,0-11-10-35-13,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",bdf21e38e1f69776df407235625e75e2
388239,1537529954.979902000,192.168.2.3,54.239.26.244,0x303,22,5,"771,49195-49196-49199-49200-158-159-49161-49162-49171-49172-51-57-50-56-49159-49169-156-157-47-53-5-255,0-11-10-35-13,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",bdf21e38e1f69776df407235625e75e2
388262,1537529955.750893000,192.168.2.3,52.46.129.41,0x303,22,5,"771,49195-49196-49199-49200-158-159-49161-49162-49171-49172-51-57-50-56-49159-49169-156-157-47-53-5-255,0-11-10-35-13,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",bdf21e38e1f69776df407235625e75e2
388265,1537529955.860308000,192.168.2.3,52.46.129.41,0x303,22,5,"771,49195-49196-49199-49200-158-159-49161-49162-49171-49172-51-57-50-56-49159-49169-156-157-47-53-5-255,0-11-10-35-13,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",bdf21e38e1f69776df407235625e75e2
388823,1537530200.591769000,192.168.2.3,54.239.25.214,0x303,22,6,"771,49195-49196-49199-49200-158-159-49161-49162-49171-49172-51-57-50-56-49159-49169-156-157-47-53-5-255,0-11-10-35-13-21,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",69415598724855f70b37da9f653ec421
388951,1537530263.503809000,192.168.2.3,52.119.196.87,0x303,13,3,"771,49195-49187-49199-49191-49161-49171-158-103-51-156-60-47-255,11-10-13,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",8b4915ab1868b8265854db0782853eeb
389057,1537530500.538126000,192.168.2.3,72.21.207.87,0x303,22,6,"771,49195-49196-49199-49200-158-159-49161-49162-49171-49172-51-57-50-56-49159-49169-156-157-47-53-5-255,0-11-10-35-13-21,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",69415598724855f70b37da9f653ec421
389318,1537530900.510799000,192.168.2.3,52.94.227.120,0x303,22,6,"771,49195-49196-49199-49200-158-159-49161-49162-49171-49172-51-57-50-56-49159-49169-156-157-47-53-5-255,0-11-10-35-13-21,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",69415598724855f70b37da9f653ec421
389642,1537531499.318993000,192.168.2.3,54.239.29.194,0x303,64,5,"771,49200-49196-49192-49188-49172-49162-163-159-107-106-57-56-49202-49198-49194-49190-49167-49157-157-61-53-49199-49195-49191-49187-49171-49161-162-158-103-64-51-50-49201-49197-49193-49189-49166-49156-156-60-47-49169-49159-49164-49154-5-4-49170-49160-22-19-49165-49155-10-21-18-9-20-17-8-6-3-255,0-11-10-13-21,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",d9059af989f5b1725965091c0d494bb7
389674,1537531499.991684000,192.168.2.3,54.231.40.211,0x303,64,5,"771,49200-49196-49192-49188-49172-49162-163-159-107-106-57-56-49202-49198-49194-49190-49167-49157-157-61-53-49199-49195-49191-49187-49171-49161-162-158-103-64-51-50-49201-49197-49193-49189-49166-49156-156-60-47-49169-49159-49164-49154-5-4-49170-49160-22-19-49165-49155-10-21-18-9-20-17-8-6-3-255,0-11-10-13-21,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",d9059af989f5b1725965091c0d494bb7
389802,1537531600.511936000,192.168.2.3,54.239.25.214,0x303,22,6,"771,49195-49196-49199-49200-158-159-49161-49162-49171-49172-51-57-50-56-49159-49169-156-157-47-53-5-255,0-11-10-35-13-21,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",69415598724855f70b37da9f653ec421
390531,1537532500.637717000,192.168.2.3,52.46.129.41,0x303,22,6,"771,49195-49196-49199-49200-158-159-49161-49162-49171-49172-51-57-50-56-49159-49169-156-157-47-53-5-255,0-11-10-35-13-21,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",69415598724855f70b37da9f653ec421
390848,1537532800.528014000,192.168.2.3,54.239.19.125,0x303,22,6,"771,49195-49196-49199-49200-158-159-49161-49162-49171-49172-51-57-50-56-49159-49169-156-157-47-53-5-255,0-11-10-35-13-21,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",69415598724855f70b37da9f653ec421
391143,1537533300.575075000,192.168.2.3,52.94.229.215,0x303,22,6,"771,49195-49196-49199-49200-158-159-49161-49162-49171-49172-51-57-50-56-49159-49169-156-157-47-53-5-255,0-11-10-35-13-21,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",69415598724855f70b37da9f653ec421
391341,1537533700.573731000,192.168.2.3,52.94.228.52,0x303,22,6,"771,49195-49196-49199-49200-158-159-49161-49162-49171-49172-51-57-50-56-49159-49169-156-157-47-53-5-255,0-11-10-35-13-21,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",69415598724855f70b37da9f653ec421
391496,1537534000.572583000,192.168.2.3,52.46.133.39,0x303,22,6,"771,49195-49196-49199-49200-158-159-49161-49162-49171-49172-51-57-50-56-49159-49169-156-157-47-53-5-255,0-11-10-35-13-21,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",69415598724855f70b37da9f653ec421
391706,1537534400.668392000,192.168.2.3,54.239.25.214,0x303,22,6,"771,49195-49196-49199-49200-158-159-49161-49162-49171-49172-51-57-50-56-49159-49169-156-157-47-53-5-255,0-11-10-35-13-21,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",69415598724855f70b37da9f653ec421
392137,1537535098.991347000,192.168.2.3,52.94.240.240,0x303,22,5,"771,49195-49196-49199-49200-158-159-49161-49162-49171-49172-51-57-50-56-49159-49169-156-157-47-53-5-255,0-11-10-35-13,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",bdf21e38e1f69776df407235625e75e2
392160,1537535099.867260000,192.168.2.3,54.239.29.194,0x303,64,5,"771,49200-49196-49192-49188-49172-49162-163-159-107-106-57-56-49202-49198-49194-49190-49167-49157-157-61-53-49199-49195-49191-49187-49171-49161-162-158-103-64-51-50-49201-49197-49193-49189-49166-49156-156-60-47-49169-49159-49164-49154-5-4-49170-49160-22-19-49165-49155-10-21-18-9-20-17-8-6-3-255,0-11-10-13-21,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",d9059af989f5b1725965091c0d494bb7
392218,1537535200.516277000,192.168.2.3,52.46.133.39,0x303,22,6,"771,49195-49196-49199-49200-158-159-49161-49162-49171-49172-51-57-50-56-49159-49169-156-157-47-53-5-255,0-11-10-35-13-21,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",69415598724855f70b37da9f653ec421
392661,1537536100.688773000,192.168.2.3,52.94.227.120,0x303,22,6,"771,49195-49196-49199-49200-158-159-49161-49162-49171-49172-51-57-50-56-49159-49169-156-157-47-53-5-255,0-11-10-35-13-21,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",69415598724855f70b37da9f653ec421
393162,1537537100.614293000,192.168.2.3,72.21.207.87,0x303,22,6,"771,49195-49196-49199-49200-158-159-49161-49162-49171-49172-51-57-50-56-49159-49169-156-157-47-53-5-255,0-11-10-35-13-21,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",69415598724855f70b37da9f653ec421
