flow,packets,mean_interval_s,cv,duration_s,classification
UDP|192.168.1.132:1900<->239.255.255.250:1900,9048,8.711,2.227,78810.8,bursty/irregular
TCP|192.168.1.132:40552<->52.51.133.171:80,10,0.011,1.151,0.1,bursty/irregular
TCP|192.168.1.132:56699<->2.16.60.139:443,8,0.002,1.348,0.0,bursty/irregular
TCP|192.168.1.132:53395<->2.16.60.82:443,8,0.0,1.16,0.0,bursty/irregular
TCP|192.168.1.132:56694<->2.16.60.139:443,8,0.002,1.485,0.0,bursty/irregular
TCP|192.168.1.132:53409<->2.16.60.82:443,8,0.429,1.698,3.0,bursty/irregular
TCP|192.168.1.132:53601<->2.16.60.82:443,8,0.0,0.998,0.0,bursty/irregular
TCP|192.168.1.132:53608<->2.16.60.82:443,8,0.0,1.161,0.0,bursty/irregular
TCP|192.168.1.132:53626<->2.16.60.82:443,8,0.0,0.926,0.0,bursty/irregular
TCP|192.168.1.132:56626<->2.16.60.139:443,8,0.001,1.01,0.0,bursty/irregular
TCP|192.168.1.132:56640<->2.16.60.139:443,8,0.0,1.033,0.0,bursty/irregular
TCP|192.168.1.132:56639<->2.16.60.139:443,8,0.0,1.129,0.0,bursty/irregular
TCP|192.168.1.132:56602<->2.16.60.139:443,8,0.0,1.033,0.0,bursty/irregular
TCP|192.168.1.132:53614<->2.16.60.82:443,8,0.0,1.031,0.0,bursty/irregular
TCP|192.168.1.132:53609<->2.16.60.82:443,8,0.0,1.133,0.0,bursty/irregular
TCP|192.168.1.132:53607<->2.16.60.82:443,8,0.001,1.1,0.0,bursty/irregular
TCP|192.168.1.132:53638<->2.16.60.82:443,8,0.001,1.097,0.0,bursty/irregular
TCP|192.168.1.132:53655<->2.16.60.82:443,8,0.002,1.438,0.0,bursty/irregular
TCP|192.168.1.132:53659<->2.16.60.82:443,8,0.002,1.4,0.0,bursty/irregular
TCP|192.168.1.132:53675<->2.16.60.82:443,8,0.002,1.438,0.0,bursty/irregular
TCP|192.168.1.132:53674<->2.16.60.82:443,8,0.002,1.394,0.0,bursty/irregular
TCP|192.168.1.132:53677<->2.16.60.82:443,8,0.002,1.363,0.0,bursty/irregular
TCP|192.168.1.132:53644<->2.16.60.82:443,8,0.002,1.214,0.0,bursty/irregular
TCP|192.168.1.132:53639<->2.16.60.82:443,8,0.001,1.015,0.0,bursty/irregular
TCP|192.168.1.132:53681<->2.16.60.82:443,8,0.002,1.348,0.0,bursty/irregular
TCP|192.168.1.132:56656<->2.16.60.139:443,8,0.002,1.401,0.0,bursty/irregular
TCP|192.168.1.132:56658<->2.16.60.139:443,8,0.002,1.361,0.0,bursty/irregular
TCP|192.168.1.132:56690<->2.16.60.139:443,8,0.002,1.487,0.0,bursty/irregular
TCP|192.168.1.132:56722<->2.16.60.139:443,8,0.002,1.444,0.0,bursty/irregular
TCP|192.168.1.132:56664<->2.16.60.139:443,8,0.002,1.399,0.0,bursty/irregular
TCP|192.168.1.132:56678<->2.16.60.139:443,8,0.002,1.399,0.0,bursty/irregular
TCP|192.168.1.132:56414<->2.16.60.139:443,8,0.001,1.099,0.0,bursty/irregular
TCP|192.168.1.132:53698<->2.16.60.82:443,8,0.002,1.438,0.0,bursty/irregular
TCP|192.168.1.132:56663<->2.16.60.139:443,8,0.002,1.348,0.0,bursty/irregular
TCP|192.168.1.132:56689<->2.16.60.139:443,8,0.002,1.489,0.0,bursty/irregular
TCP|192.168.1.132:56637<->2.16.60.139:443,8,0.0,1.132,0.0,bursty/irregular
TCP|192.168.1.132:53710<->2.16.60.82:443,8,0.002,1.438,0.0,bursty/irregular
TCP|192.168.1.132:53599<->2.16.60.82:443,7,0.001,1.124,0.0,bursty/irregular
TCP|192.168.1.132:53406<->2.16.60.82:443,7,0.001,1.148,0.0,bursty/irregular
TCP|192.168.1.132:56607<->2.16.60.139:443,7,0.001,1.029,0.0,bursty/irregular
TCP|192.168.1.132:53642<->2.16.60.82:443,7,0.001,1.119,0.0,bursty/irregular
TCP|192.168.1.132:56707<->2.16.60.139:443,7,0.002,1.326,0.0,bursty/irregular
TCP|192.168.1.132:53624<->2.16.60.82:443,7,0.001,1.149,0.0,bursty/irregular
TCP|192.168.1.132:53602<->2.16.60.82:443,7,0.001,1.149,0.0,bursty/irregular
TCP|192.168.1.132:56652<->2.16.60.139:443,7,0.002,1.277,0.0,bursty/irregular
TCP|192.168.1.132:56683<->2.16.60.139:443,7,0.002,1.326,0.0,bursty/irregular
TCP|192.168.1.132:56687<->2.16.60.139:443,7,0.002,1.325,0.0,bursty/irregular
TCP|192.168.1.132:53693<->2.16.60.82:443,7,0.002,1.327,0.0,bursty/irregular
TCP|192.168.1.132:53396<->2.16.60.82:443,6,0.001,0.966,0.0,bursty/irregular
TCP|192.168.1.132:53625<->2.16.60.82:443,6,0.001,0.942,0.0,bursty/irregular
TCP|192.168.1.132:53631<->2.16.60.82:443,6,0.001,1.09,0.0,bursty/irregular
TCP|192.168.1.132:53668<->2.16.60.82:443,6,0.002,1.181,0.0,bursty/irregular
TCP|192.168.1.132:53637<->2.16.60.82:443,6,0.001,0.939,0.0,bursty/irregular
TCP|192.168.1.132:53650<->2.16.60.82:443,6,0.002,1.147,0.0,bursty/irregular
TCP|192.168.1.132:53662<->2.16.60.82:443,6,0.002,1.139,0.0,bursty/irregular
TCP|192.168.1.132:53669<->2.16.60.82:443,6,0.002,1.14,0.0,bursty/irregular
TCP|192.168.1.132:53606<->2.16.60.82:443,6,0.001,1.088,0.0,bursty/irregular
TCP|192.168.1.132:56655<->2.16.60.139:443,6,0.002,1.181,0.0,bursty/irregular
TCP|192.168.1.132:56650<->2.16.60.139:443,6,0.002,1.136,0.0,bursty/irregular
TCP|192.168.1.132:56620<->2.16.60.139:443,6,0.001,1.003,0.0,bursty/irregular
TCP|192.168.1.132:56619<->2.16.60.139:443,6,0.001,0.964,0.0,bursty/irregular
TCP|192.168.1.132:56625<->2.16.60.139:443,6,0.001,0.966,0.0,bursty/irregular
TCP|192.168.1.132:56627<->2.16.60.139:443,6,0.001,0.996,0.0,bursty/irregular
TCP|192.168.1.132:56628<->2.16.60.139:443,6,0.001,1.094,0.0,bursty/irregular
TCP|192.168.1.132:56634<->2.16.60.139:443,6,0.001,0.94,0.0,bursty/irregular
TCP|192.168.1.132:53709<->2.16.60.82:443,6,0.002,1.141,0.0,bursty/irregular
TCP|192.168.1.132:53699<->2.16.60.82:443,6,0.002,1.098,0.0,bursty/irregular
TCP|192.168.1.132:53695<->2.16.60.82:443,6,0.002,1.137,0.0,bursty/irregular
TCP|192.168.1.132:53711<->2.16.60.82:443,6,0.002,1.139,0.0,bursty/irregular
TCP|192.168.1.132:53722<->2.16.60.82:443,6,0.002,1.139,0.0,bursty/irregular
TCP|192.168.1.132:53721<->2.16.60.82:443,6,0.002,1.095,0.0,bursty/irregular
TCP|192.168.1.132:56406<->2.16.60.139:443,6,0.001,0.965,0.0,bursty/irregular
TCP|192.168.1.132:56420<->2.16.60.139:443,6,0.001,0.941,0.0,bursty/irregular
TCP|192.168.1.132:53686<->2.16.60.82:443,6,0.002,1.095,0.0,bursty/irregular
TCP|192.168.1.132:53694<->2.16.60.82:443,6,0.002,1.139,0.0,bursty/irregular
TCP|192.168.1.132:53636<->2.16.60.82:443,6,0.001,0.965,0.0,bursty/irregular
TCP|192.168.1.132:53615<->2.16.60.82:443,6,0.001,0.941,0.0,bursty/irregular
TCP|192.168.1.132:53596<->2.16.60.82:443,6,0.001,0.965,0.0,bursty/irregular
TCP|192.168.1.132:53412<->2.16.60.82:443,6,0.001,0.816,0.0,bursty/irregular
TCP|192.168.1.132:53408<->2.16.60.82:443,6,0.001,0.966,0.0,bursty/irregular
TCP|192.168.1.132:56708<->2.16.60.139:443,6,0.002,1.181,0.0,bursty/irregular
TCP|192.168.1.132:56723<->2.16.60.139:443,6,0.002,1.137,0.0,bursty/irregular
TCP|192.168.1.132:56719<->2.16.60.139:443,6,0.002,1.136,0.0,bursty/irregular
TCP|192.168.1.132:56670<->2.16.60.139:443,6,0.002,1.181,0.0,bursty/irregular
TCP|192.168.1.132:56671<->2.16.60.139:443,6,0.002,1.139,0.0,bursty/irregular
TCP|192.168.1.132:56677<->2.16.60.139:443,6,0.002,1.181,0.0,bursty/irregular
TCP|192.168.1.132:56695<->2.16.60.139:443,6,0.002,1.136,0.0,bursty/irregular
TCP|192.168.1.132:56696<->2.16.60.139:443,6,0.002,1.18,0.0,bursty/irregular
TCP|192.168.1.132:58542<->2.21.172.138:443,6,0.003,1.149,0.0,bursty/irregular
