flow,start,end,packets,bytes,duration_s
TCP|192.168.2.3:37475<->205.251.243.55:443,1537523791.063589,1537531303.078551,47,13599,7512.0149619579315
TCP|192.168.2.3:37664<->54.239.31.37:443,1537528844.250807,1537528902.527764,38,13400,58.2769570350647
TCP|192.168.2.3:57953<->52.119.196.87:443,1537530263.386021,1537533623.187333,49,13169,3359.8013122081757
TCP|192.168.2.3:38719<->54.239.27.11:443,1537523569.438981,1537523572.142841,47,12830,2.70386004447937
TCP|192.168.2.3:38715<->54.239.27.11:443,1537523549.913557,1537523569.557717,48,12751,19.64416003227234
TCP|192.168.2.3:51044<->52.46.156.47:443,1537541000.529173,1537541400.600053,40,12660,400.07088017463684
TCP|192.168.2.3:41097<->52.46.129.41:443,1537532500.524731,1537532548.294539,37,12610,47.76980805397034
TCP|192.168.2.3:45941<->52.94.228.52:443,1537533700.462335,1537534000.519271,41,12197,300.0569357872009
TCP|192.168.2.3:47722<->52.46.133.39:443,1537528444.249987,1537528472.036707,38,12190,27.786720037460327
TCP|192.168.2.3:53629<->52.94.228.52:443,1537527344.087921,1537527376.125486,36,12098,32.03756499290466
TCP|192.168.2.3:48327<->72.21.207.87:443,1537537100.480156,1537537168.899251,36,11601,68.41909503936768
TCP|192.168.2.3:55193<->54.239.25.214:443,1537531600.399745,1537532500.616493,37,11341,900.2167479991913
TCP|192.168.2.3:49431<->54.239.31.37:443,1537540700.544488,1537541000.601548,38,11235,300.05706000328064
TCP|192.168.2.3:33321<->52.46.133.39:443,1537534000.445072,1537534400.629918,37,11213,400.184846162796
TCP|192.168.2.3:34385<->54.239.25.214:443,1537534400.542333,1537535200.499659,37,11149,799.9573261737823
TCP|192.168.2.3:34420<->52.94.229.215:443,1537533300.458455,1537533700.564525,37,11149,400.1060698032379
TCP|192.168.2.3:32876<->52.46.129.41:443,1537538000.474435,1537538800.577969,37,11149,800.1035339832306
TCP|192.168.2.3:55830<->52.94.228.52:443,1537539900.494072,1537540700.646052,37,11149,800.1519799232483
TCP|192.168.2.3:53778<->52.46.133.39:443,1537535200.405144,1537536100.50186,37,11149,900.096715927124
TCP|192.168.2.3:50005<->52.46.129.41:443,1537527044.032855,1537527344.190173,38,11107,300.1573178768158
TCP|192.168.2.3:53078<->54.239.18.122:443,1537526343.985822,1537526744.110346,37,11085,400.1245241165161
TCP|192.168.2.3:57545<->54.239.19.125:443,1537532800.412268,1537532866.969657,34,10990,66.5573890209198
TCP|192.168.2.3:42388<->54.239.18.122:443,1537539100.558084,1537539129.150616,35,10988,28.59253191947937
TCP|192.168.2.3:41249<->52.94.227.120:443,1537536100.404678,1537537100.54381,35,10960,1000.1391317844391
TCP|192.168.2.3:45199<->72.21.207.87:443,1537530500.376473,1537530531.935802,34,10934,31.55932903289795
TCP|192.168.2.3:59145<->54.239.18.122:443,1537529244.183015,1537529307.628562,35,10924,63.44554686546326
UDP|192.168.69.178:nan<->224.0.0.251:nan,1537542503.4303,1537542569.274394,41,10897,65.84409403800964
TCP|192.168.2.3:60696<->52.94.227.120:443,1537530900.398004,1537530955.830044,33,10799,55.432039976119995
TCP|192.168.2.3:52146<->72.21.207.87:443,1537541400.538409,1537541423.384802,34,10694,22.84639310836792
TCP|192.168.2.3:36878<->52.94.232.206:443,1537525244.074864,1537525644.035642,33,10401,399.9607779979706
TCP|192.168.2.3:48224<->52.94.232.206:443,1537538800.486394,1537539100.613607,34,10295,300.1272130012512
TCP|192.168.2.3:52496<->52.119.164.214:443,1537523549.973209,1537523559.148345,29,10084,9.175136089324951
UDP|192.168.69.129:nan<->224.0.0.251:nan,1537542433.695543,1537542572.758046,34,9973,139.06250286102295
UDP|192.168.69.192:nan<->224.0.0.251:nan,1537542437.614548,1537542572.695054,31,9675,135.0805060863495
UDP|192.168.2.3:nan<->224.0.0.251:nan,1537523549.066996,1537530059.690878,55,9675,6510.623881816864
TCP|192.168.2.3:56916<->52.119.162.179:443,1537524274.316767,1537524283.245969,30,9572,8.92920207977295
TCP|176.32.101.46:443<->192.168.2.3:48211,1537529933.787038,1537529998.379037,24,9495,64.5919988155365
TCP|192.168.2.3:41838<->52.46.129.109:443,1537523552.058663,1537523560.861365,29,9430,8.802702188491821
TCP|192.168.2.3:45407<->52.119.196.25:443,1537523564.395944,1537523566.497433,29,9312,2.1014888286590576
TCP|192.168.2.3:33043<->52.119.164.214:443,1537523549.992842,1537524044.094597,30,9198,494.1017551422119
TCP|192.168.2.3:48278<->52.119.164.214:443,1537523550.119413,1537524044.103188,30,9198,493.983775138855
TCP|192.168.2.3:52480<->52.46.133.19:443,1537529934.872022,1537530084.034384,24,9164,149.16236209869385
TCP|192.168.2.3:41842<->54.239.29.194:443,1537531499.028568,1537531499.901825,27,9049,0.8732569217681885
TCP|192.168.2.3:41869<->54.239.29.194:443,1537538700.384042,1537538701.198565,26,8998,0.8145229816436768
TCP|192.168.2.3:32998<->54.239.29.194:443,1537523647.208848,1537523647.895895,26,8945,0.687047004699707
TCP|192.168.2.3:52580<->52.119.168.148:443,1537529938.386451,1537529974.973895,28,8514,36.58744406700134
TCP|192.168.2.3:60348<->52.119.168.148:443,1537529938.322162,1537529974.956469,28,8418,36.63430714607239
TCP|192.168.2.3:54274<->52.119.168.148:443,1537529938.078905,1537529974.336267,27,8389,36.2573618888855
TCP|192.168.2.3:43636<->52.119.168.148:443,1537529936.236759,1537529973.275197,28,8376,37.03843808174133
TCP|13.32.99.123:443<->192.168.2.3:51428,1537529916.287343,1537530036.680968,24,8325,120.39362502098083
TCP|192.168.2.3:41856<->54.239.29.194:443,1537535099.677506,1537535100.399394,25,8277,0.7218880653381348
TCP|192.168.2.3:47077<->52.94.240.240:443,1537535098.881119,1537535258.639756,22,8275,159.75863695144653
TCP|192.168.2.3:42715<->72.21.207.143:443,1537538699.776011,1537538860.171716,21,8216,160.39570498466492
TCP|192.168.2.3:49777<->54.239.26.244:443,1537529954.836422,1537530118.399437,21,8183,163.56301498413086
TCP|192.168.2.3:60893<->72.21.195.82:443,1537529904.582075,1537529906.807166,24,7808,2.225090980529785
TCP|192.168.2.3:54908<->52.46.157.6:443,1537523551.589071,1537523554.528452,24,7744,2.9393808841705322
TCP|192.168.2.3:43982<->52.46.157.6:443,1537523551.378558,1537523648.414681,23,7715,97.03612303733826
TCP|192.168.2.3:50862<->52.119.196.25:443,1537523560.199015,1537523632.632786,21,7711,72.43377113342285
UDP|192.168.2.3:nan<->207.171.178.6:nan,1537524151.709761,1537541316.32564,85,7650,17164.615879058838
TCP|13.32.118.138:443<->192.168.2.3:33306,1537526423.111953,1537526423.302615,24,7626,0.19066190719604492
UDP|192.168.69.200:nan<->224.0.0.251:nan,1537542501.791761,1537542572.756384,26,6904,70.96462297439575
TCP|192.168.2.3:36811<->54.239.28.161:443,1537526660.549141,1537526661.255311,30,6236,0.7061700820922852
UDP|192.168.2.3:nan<->72.21.192.213:nan,1537523549.773559,1537541016.092636,64,5760,17466.319077014923
TCP|192.168.2.3:34397<->52.216.96.171:80,1537529904.130785,1537530204.664796,23,4124,300.5340111255646
UDP|192.168.69.73:nan<->224.0.0.251:nan,1537542438.406998,1537542561.082327,14,2755,122.67532896995544
TCP|192.168.2.3:60226<->52.216.104.139:80,1537523851.049889,1537524241.24406,24,2692,390.19417095184326
TCP|192.168.2.3:32910<->52.216.18.224:80,1537527156.539532,1537527527.483488,22,2572,370.9439561367035
TCP|192.168.2.3:44658<->52.216.104.43:80,1537538314.271981,1537538614.504258,16,2394,300.2322769165039
TCP|192.168.2.3:56374<->52.216.100.51:80,1537530504.826725,1537530805.024461,16,2394,300.19773602485657
TCP|192.168.2.3:54164<->52.216.102.99:80,1537532906.093669,1537533206.33881,16,2394,300.2451410293579
TCP|192.168.2.3:45033<->52.216.168.107:80,1537539214.749959,1537539514.991412,16,2394,300.2414529323578
TCP|192.168.2.3:38291<->54.231.33.155:80,1537535607.67874,1537535907.922517,16,2394,300.24377703666687
TCP|192.168.2.3:33219<->52.216.100.131:80,1537534106.891027,1537534407.142088,16,2394,300.251060962677
TCP|192.168.2.3:48132<->52.216.100.179:80,1537531105.163031,1537531405.384058,16,2394,300.2210268974304
TCP|192.168.2.3:58696<->52.216.132.195:80,1537529260.025321,1537529650.364397,23,2207,390.3390760421753
TCP|13.32.99.94:80<->192.168.2.3:55197,1537529954.337652,1537529984.275919,13,2180,29.93826699256897
TCP|192.168.2.3:50642<->52.216.169.171:80,1537526555.518289,1537526945.883623,22,2153,390.3653337955475
UDP|192.168.69.241:nan<->224.0.0.251:nan,1537542572.346468,1537542574.600219,8,2134,2.253751039505005
TCP|192.168.2.3:33407<->52.216.228.224:80,1537528358.539441,1537528746.367202,21,2087,387.8277609348297
TCP|192.168.2.3:40681<->52.216.128.75:80,1537525052.941654,1537525448.445121,21,2087,395.5034670829773
TCP|192.168.2.3:56304<->54.231.50.91:80,1537528959.503689,1537529349.882969,21,2087,390.37927985191345
TCP|192.168.2.3:55933<->52.216.169.107:80,1537528057.989788,1537528448.281154,21,2087,390.2913658618927
TCP|192.168.2.3:40075<->54.231.82.82:80,1537528659.063555,1537529051.801433,21,2087,392.73787808418274
TCP|192.168.2.3:34516<->52.216.133.59:80,1537525353.481512,1537525741.243139,21,2087,387.76162695884705
TCP|192.168.2.3:32925<->54.231.40.219:80,1537537108.5567,1537537501.043515,21,2087,392.4868149757385
TCP|192.168.2.3:49305<->52.216.161.3:80,1537525653.971963,1537526044.283214,21,2087,390.31125116348267
TCP|192.168.2.3:50651<->52.216.164.243:80,1537527457.025997,1537527849.882105,21,2087,392.85610818862915
TCP|192.168.2.3:32914<->52.216.86.83:80,1537525954.504121,1537526344.763157,21,2087,390.25903582572937
TCP|192.168.2.3:49214<->52.216.227.176:80,1537524151.451438,1537524539.164212,21,2087,387.7127740383148
TCP|192.168.2.3:36988<->52.216.65.224:80,1537527757.502167,1537528150.361877,21,2087,392.85970997810364
TCP|192.168.2.3:34434<->52.216.232.195:80,1537526254.984173,1537526650.363608,21,2087,395.37943482398987
TCP|192.168.2.3:46657<->52.216.160.251:80,1537524752.426528,1537525142.684473,21,2087,390.25794506073
TCP|192.168.2.3:52889<->52.216.165.251:80,1537524451.916815,1537524829.244482,20,2033,377.32766699790955
TCP|192.168.2.3:38597<->52.216.226.224:80,1537526856.010097,1537527230.765866,20,2033,374.7557690143585
TCP|192.168.2.3:52984<->52.216.16.8:80,1537523549.487071,1537523907.163989,19,1979,357.67691802978516
TCP|192.168.2.3:56146<->52.216.227.0:80,1537533806.650872,1537534106.941329,14,1855,300.29045701026917
TCP|192.168.2.3:54924<->52.216.18.120:80,1537532605.925062,1537532906.177685,14,1855,300.2526230812073
TCP|192.168.2.3:54364<->52.216.64.208:80,1537530804.959148,1537531105.260732,14,1855,300.30158400535583
TCP|192.168.2.3:42398<->52.216.131.3:80,1537538914.565665,1537539214.824979,14,1855,300.2593140602112
TCP|192.168.2.3:42315<->52.216.80.0:80,1537537713.9629,1537538014.193404,14,1855,300.2305040359497
TCP|192.168.2.3:47897<->52.216.18.80:80,1537540715.624092,1537541015.900367,14,1855,300.2762749195099
TCP|192.168.2.3:47852<->52.216.132.59:80,1537532005.642908,1537532305.915916,14,1855,300.27300786972046
TCP|192.168.2.3:45754<->52.216.83.32:80,1537538014.097915,1537538314.343895,14,1855,300.24598002433777
TCP|192.168.2.3:47610<->52.216.130.235:80,1537540115.276517,1537540415.511434,14,1855,300.2349171638489
TCP|192.168.2.3:48102<->52.216.161.219:80,1537531705.477107,1537532005.722435,14,1855,300.2453279495239
TCP|192.168.2.3:48644<->54.231.120.227:80,1537541015.834458,1537541316.07291,14,1855,300.23845195770264
TCP|192.168.2.3:42749<->52.216.134.83:80,1537540415.456565,1537540715.708736,14,1855,300.2521710395813
TCP|192.168.2.3:44675<->52.216.230.235:80,1537539815.104231,1537540115.339972,14,1855,300.2357409000397
TCP|192.168.2.3:37411<->52.216.131.83:80,1537531405.292914,1537531705.568845,14,1855,300.2759311199188
TCP|192.168.2.3:37068<->54.231.98.104:80,1537530204.574154,1537530504.888762,14,1855,300.3146080970764
TCP|192.168.2.3:37004<->54.231.33.211:80,1537536808.387305,1537537108.650856,14,1855,300.2635509967804
TCP|192.168.2.3:36743<->52.216.17.216:80,1537535007.359713,1537535307.602919,14,1855,300.2432060241699
TCP|192.168.2.3:34712<->52.216.65.0:80,1537533206.285816,1537533506.529547,14,1855,300.2437310218811
TCP|192.168.2.3:33969<->52.216.131.91:80,1537539514.925792,1537539815.163,14,1855,300.23720812797546
TCP|192.168.2.3:39042<->52.216.168.91:80,1537536207.993398,1537536508.286202,14,1855,300.29280400276184
TCP|192.168.2.3:40011<->52.216.129.187:80,1537534407.06876,1537534707.27084,14,1855,300.2020800113678
TCP|192.168.2.3:38308<->52.216.131.3:80,1537537413.725618,1537537714.015009,14,1855,300.289391040802
TCP|192.168.2.3:39049<->54.231.82.138:80,1537535907.850842,1537536208.081795,14,1855,300.23095297813416
TCP|192.168.2.3:60193<->54.231.114.154:80,1537533506.465256,1537533806.710096,14,1855,300.2448399066925
TCP|192.168.2.3:42197<->52.216.17.40:80,1537532305.81764,1537532606.02047,14,1855,300.2028298377991
TCP|192.168.2.3:59800<->54.231.81.48:80,1537538614.445369,1537538914.639406,14,1855,300.1940369606018
TCP|192.168.2.3:59312<->52.216.105.243:80,1537535307.552599,1537535607.756618,14,1855,300.20401906967163
TCP|192.168.2.3:58211<->52.216.16.224:80,1537536508.209627,1537536808.453491,14,1855,300.24386405944824
TCP|192.168.2.3:58631<->54.231.82.146:80,1537534707.185644,1537535007.444213,14,1855,300.2585690021515
TCP|192.168.2.3:36786<->52.216.65.248:80,1537541315.998609,1537541339.301319,11,1547,23.302709817886353
TCP|192.168.2.3:47575<->52.216.64.112:80,1537529560.555156,1537529583.972013,11,1547,23.41685700416565
TCP|104.199.64.136:80<->192.168.2.3:50020,1537529931.431088,1537529931.543812,10,1375,0.11272406578063965
TCP|104.199.64.136:80<->192.168.2.3:50021,1537529954.449652,1537529954.573819,10,1369,0.12416696548461914
TCP|13.32.99.46:80<->192.168.2.3:42487,1537529956.12934,1537529984.28064,10,1325,28.151299953460693
UDP|192.168.69.1:nan<->192.168.69.192:nan,1537542434.80004,1537542438.30336,3,1303,3.5033199787139893
TCP|192.168.2.3:58536<->52.94.241.86:80,1537523861.410214,1537523861.820608,9,1042,0.41039395332336426
TCP|192.168.2.3:34339<->72.21.214.79:80,1537535617.987138,1537535618.684131,9,1042,0.6969928741455078
TCP|192.168.2.3:44751<->52.94.241.86:80,1537531715.746671,1537531716.502582,9,1042,0.755911111831665
TCP|192.168.2.3:41223<->52.94.241.86:80,1537539525.291697,1537539525.628128,8,988,0.33643102645874023
TCP|192.168.2.3:40965<->72.21.214.79:80,1537528969.765951,1537528970.117794,8,988,0.35184311866760254
TCP|192.168.2.3:45108<->72.21.214.79:80,1537532916.378735,1537532916.742809,8,988,0.3640739917755127
TCP|192.168.2.3:43201<->72.21.214.79:80,1537539225.023119,1537539225.368509,8,988,0.34539008140563965
TCP|176.32.98.203:80<->192.168.2.3:45033,1537523559.833908,1537523560.310896,8,988,0.4769878387451172
TCP|176.32.98.203:80<->192.168.2.3:45631,1537530815.223102,1537530815.566967,8,988,0.34386491775512695
TCP|176.32.98.203:80<->192.168.2.3:42275,1537531415.602096,1537531415.94056,8,988,0.33846402168273926
TCP|192.168.2.3:33697<->52.94.241.86:80,1537532015.945703,1537532016.300006,8,988,0.35430288314819336
TCP|192.168.2.3:33054<->52.94.241.86:80,1537538924.833702,1537538925.187828,8,988,0.3541259765625
TCP|192.168.2.3:33978<->72.21.214.79:80,1537528368.850869,1537528369.19681,8,988,0.34594106674194336
TCP|192.168.2.3:59013<->52.94.241.86:80,1537524462.33025,1537524462.667448,8,988,0.33719801902770996
TCP|192.168.2.3:59218<->52.94.241.86:80,1537541026.143281,1537541026.479151,8,988,0.33587002754211426
TCP|192.168.2.3:59094<->72.21.214.79:80,1537537118.821647,1537537119.17778,8,988,0.35613298416137695
TCP|192.168.2.3:59497<->52.94.241.86:80,1537537423.980864,1537537424.318304,8,988,0.33744001388549805
TCP|176.32.98.203:80<->192.168.2.3:50218,1537527767.864266,1537527768.225155,8,988,0.360889196395874
TCP|176.32.98.203:80<->192.168.2.3:48754,1537528669.439693,1537528669.797191,8,988,0.3574979305267334
TCP|192.168.2.3:40232<->72.21.214.79:80,1537531115.453238,1537531115.827867,8,988,0.37462902069091797
TCP|192.168.2.3:39272<->72.21.214.79:80,1537532616.234824,1537532616.709353,8,988,0.4745290279388428
TCP|192.168.2.3:49464<->52.94.241.86:80,1537534117.252942,1537534117.629716,8,988,0.3767738342285156
TCP|176.32.98.203:80<->192.168.2.3:60866,1537536218.289596,1537536218.660683,8,988,0.37108683586120605
TCP|176.32.98.203:80<->192.168.2.3:34940,1537541326.339196,1537541326.679197,8,988,0.34000110626220703
TCP|176.32.98.203:80<->192.168.2.3:58739,1537532316.337035,1537532316.750736,8,988,0.41370105743408203
TCP|176.32.98.203:80<->192.168.2.3:58710,1537530515.146802,1537530515.480954,8,988,0.3341519832611084
TCP|192.168.2.3:46120<->72.21.214.79:80,1537539825.373582,1537539825.729119,8,988,0.35553717613220215
TCP|176.32.98.203:80<->192.168.2.3:56695,1537540125.580908,1537540125.928848,8,988,0.34793996810913086
TCP|176.32.98.203:80<->192.168.2.3:56482,1537536818.684975,1537536819.020522,8,988,0.33554720878601074
TCP|176.32.98.203:80<->192.168.2.3:58175,1537533516.748067,1537533517.094707,8,988,0.34664011001586914
TCP|176.32.98.203:80<->192.168.2.3:57970,1537526866.450997,1537526866.880954,8,988,0.42995691299438477
TCP|176.32.98.203:80<->192.168.2.3:51089,1537538624.704782,1537538625.047684,8,988,0.34290194511413574
TCP|176.32.98.203:80<->192.168.2.3:54924,1537526565.791923,1537526566.143128,8,988,0.35120487213134766
TCP|192.168.2.3:51205<->72.21.214.79:80,1537525664.233099,1537525664.584248,8,988,0.3511490821838379
TCP|192.168.2.3:32812<->52.94.241.86:80,1537528068.246672,1537528068.648434,8,988,0.4017620086669922
TCP|192.168.2.3:54030<->52.94.241.86:80,1537535317.822801,1537535318.289108,8,988,0.4663069248199463
TCP|192.168.2.3:55192<->72.21.214.79:80,1537529570.894515,1537529571.249268,8,988,0.3547530174255371
TCP|192.168.2.3:57174<->72.21.214.79:80,1537530214.858259,1537530215.206024,8,988,0.3477649688720703
TCP|192.168.2.3:54800<->52.94.241.86:80,1537540725.892954,1537540726.265871,8,988,0.37291693687438965
TCP|192.168.2.3:53394<->72.21.214.79:80,1537534417.336907,1537534417.692319,8,988,0.35541200637817383
TCP|192.168.2.3:53806<->72.21.214.79:80,1537534717.440788,1537534717.789819,8,988,0.3490309715270996
TCP|176.32.98.203:80<->192.168.2.3:38291,1537540425.738628,1537540426.098608,8,988,0.35998010635375977
TCP|176.32.98.203:80<->192.168.2.3:37512,1537529914.137366,1537529914.493744,8,988,0.35637784004211426
TCP|192.168.2.3:41915<->52.94.241.86:80,1537531715.756887,1537531716.458046,9,887,0.7011590003967285
TCP|192.168.2.3:56078<->72.21.214.79:80,1537535617.975737,1537535618.695468,9,887,0.7197308540344238
TCP|172.217.23.238:80<->192.168.2.3:47125,1537523554.541256,1537523794.613554,9,869,240.07229804992676
TCP|176.32.98.203:80<->192.168.2.3:52806,1537538624.700704,1537538625.059273,8,833,0.3585689067840576
TCP|192.168.2.3:34992<->52.94.241.86:80,1537532015.943921,1537532016.31997,8,833,0.3760488033294678
TCP|192.168.2.3:36484<->72.21.214.79:80,1537539225.023206,1537539225.37785,8,833,0.3546440601348877
TCP|192.168.2.3:37805<->52.94.241.86:80,1537534117.252946,1537534117.631358,8,833,0.37841200828552246
TCP|192.168.2.3:37415<->72.21.214.79:80,1537539825.37359,1537539825.72392,8,833,0.350330114364624
TCP|192.168.2.3:36407<->72.21.214.79:80,1537525063.292047,1537525063.664641,8,833,0.37259387969970703
TCP|192.168.2.3:33490<->52.94.241.86:80,1537537724.232189,1537537724.568247,8,833,0.3360581398010254
TCP|192.168.2.3:38431<->52.94.241.86:80,1537540725.891718,1537540726.270538,8,833,0.37882018089294434
TCP|192.168.2.3:38280<->72.21.214.79:80,1537527166.892132,1537527167.236313,8,833,0.3441810607910156
TCP|176.32.98.203:80<->192.168.2.3:49912,1537536218.289602,1537536218.649476,8,833,0.35987401008605957
TCP|176.32.98.203:80<->192.168.2.3:49909,1537540125.58415,1537540125.917431,8,833,0.3332810401916504
TCP|176.32.98.203:80<->192.168.2.3:46786,1537528669.433638,1537528669.777212,8,833,0.34357380867004395
TCP|176.32.98.203:80<->192.168.2.3:47785,1537533216.661437,1537533217.028713,8,833,0.3672759532928467
TCP|192.168.2.3:47308<->72.21.214.79:80,1537538024.443432,1537538024.80035,8,833,0.3569178581237793
TCP|192.168.2.3:47112<->52.94.241.86:80,1537541026.118734,1537541026.470564,8,833,0.35183000564575195
TCP|192.168.2.3:46998<->72.21.214.79:80,1537537118.821639,1537537119.173743,8,833,0.35210394859313965
TCP|192.168.2.3:45229<->52.94.241.86:80,1537523861.410206,1537523861.758623,8,833,0.348416805267334
TCP|176.32.98.203:80<->192.168.2.3:43216,1537523549.357457,1537523549.846239,8,833,0.4887821674346924
TCP|176.32.98.203:80<->192.168.2.3:41400,1537536818.684968,1537536819.036552,8,833,0.35158395767211914
TCP|192.168.2.3:58788<->52.94.241.86:80,1537528068.246679,1537528068.63585,8,833,0.38917088508605957
TCP|192.168.2.3:57967<->72.21.214.79:80,1537532616.204951,1537532616.700907,8,833,0.4959559440612793
TCP|192.168.2.3:58012<->52.94.241.86:80,1537537423.981511,1537537424.3386,8,833,0.3570888042449951
TCP|192.168.2.3:59481<->52.94.241.86:80,1537535017.671791,1537535018.014215,8,833,0.3424239158630371
TCP|192.168.2.3:60965<->72.21.214.79:80,1537528368.849627,1537528369.209035,8,833,0.359407901763916
TCP|192.168.2.3:60730<->72.21.214.79:80,1537534417.336899,1537534417.687338,8,833,0.35043907165527344
TCP|192.168.2.3:51558<->52.94.241.86:80,1537538924.833709,1537538925.183608,8,833,0.3498990535736084
TCP|176.32.98.203:80<->192.168.2.3:37759,1537527767.848125,1537527768.197957,8,833,0.34983205795288086
TCP|192.168.2.3:51169<->72.21.214.79:80,1537532916.379081,1537532916.738041,8,833,0.3589599132537842
TCP|176.32.98.203:80<->192.168.2.3:40276,1537530515.145341,1537530515.495902,8,833,0.35056114196777344
TCP|192.168.2.3:53427<->72.21.214.79:80,1537534717.440795,1537534717.787552,8,833,0.346757173538208
TCP|192.168.2.3:53554<->72.21.214.79:80,1537525363.757905,1537525364.122269,8,833,0.3643639087677002
TCP|176.32.98.203:80<->192.168.2.3:40954,1537530815.223109,1537530815.581822,8,833,0.35871291160583496
TCP|176.32.98.203:80<->192.168.2.3:41346,1537532316.368995,1537532316.747473,8,833,0.3784780502319336
TCP|192.168.2.3:54312<->52.94.241.86:80,1537539525.314559,1537539525.664866,8,833,0.35030698776245117
TCP|176.32.98.203:80<->192.168.2.3:32862,1537526866.444665,1537526866.783924,8,833,0.33925914764404297
TCP|192.168.2.3:54422<->72.21.214.79:80,1537536518.493126,1537536519.00705,8,833,0.5139241218566895
TCP|176.32.98.203:80<->192.168.2.3:40948,1537529904.248536,1537529904.588628,8,833,0.3400919437408447
TCP|192.168.2.3:36435<->72.21.214.79:80,1537525664.232035,1537525664.58354,8,833,0.3515050411224365
TCP|176.32.98.203:80<->192.168.2.3:33102,1537524762.734781,1537524763.082812,8,833,0.34803104400634766
TCP|192.168.2.3:50427<->52.94.241.86:80,1537535317.822492,1537535318.282623,8,833,0.4601311683654785
