bin,packets,bytes
1750.0,14,3484
1760.0,16,3604
1770.0,41,9192
1780.0,16,4276
1790.0,15,3262
1800.0,16,4195
1810.0,11,3162
1820.0,7,420
1830.0,13,3142
1840.0,11,3022
1850.0,21,4164
1860.0,20,6299
1870.0,11,3022
1880.0,13,3142
1890.0,15,3262
1900.0,13,3142
1910.0,13,3142
1920.0,28,6649
1930.0,13,3814
1940.0,11,3022
1950.0,17,3382
1960.0,11,3022
1970.0,13,3142
1980.0,16,3631
1990.0,23,6040
2000.0,17,4054
2010.0,11,3022
2020.0,13,3142
2030.0,11,3022
2040.0,18,3751
2050.0,11,3022
2060.0,23,6040
2070.0,13,3814
2080.0,15,3262
2090.0,13,3142
2100.0,12,3391
2110.0,25,4834
2120.0,20,4552
2130.0,24,6382
2140.0,14,4156
2150.0,15,3262
2160.0,31,6321
2170.0,12,3364
2180.0,13,3142
2190.0,14,3484
2200.0,40,8566
2210.0,17,4902
2220.0,13,3733
2230.0,18,3724
2240.0,11,3022
2250.0,30,5952
2260.0,12,3364
2270.0,40,10376
2280.0,12,3391
2290.0,8,1508
2300.0,9,2296
2310.0,15,3262
2320.0,13,3142
2330.0,11,3022
2340.0,36,10163
2350.0,17,3382
2360.0,13,3142
2370.0,11,3022
2380.0,17,3382
2390.0,11,3022
2400.0,14,4053
2410.0,29,6530
2420.0,11,3022
2430.0,13,3142
2440.0,15,3262
2450.0,5,906
2460.0,14,2681
2470.0,11,3022
2480.0,37,9914
2490.0,15,3262
2500.0,13,3142
2510.0,11,3022
2520.0,18,3751
2530.0,5,906
2540.0,7,2176
2550.0,39,10034
2560.0,11,3022
2570.0,13,3142
2580.0,16,3631
2590.0,23,4530
2600.0,17,4414
2610.0,28,6622
2620.0,14,4156
2630.0,12,3364
2640.0,36,6903
2650.0,12,3364
2660.0,14,3484
2670.0,9,1146
2680.0,24,4702
2690.0,31,8518
2700.0,15,3023
2710.0,11,3022
2720.0,18,3724
2730.0,28,5832
2740.0,15,3826
2750.0,14,3484
2760.0,28,6649
2770.0,15,4074
2780.0,15,3262
2790.0,13,3142
2800.0,11,3022
2810.0,17,3382
2820.0,12,3391
2830.0,35,9794
2840.0,15,3262
2850.0,13,3142
2860.0,11,3022
2870.0,9,1146
2880.0,10,2665
2890.0,11,3022
2900.0,43,12042
2910.0,13,3142
2920.0,13,3142
2930.0,11,3022
2940.0,18,3751
2950.0,11,3022
2960.0,9,1784
2970.0,27,8070
2980.0,11,3022
2990.0,17,3382
3000.0,12,3391
3010.0,13,3142
3020.0,13,3142
3030.0,27,6280
3040.0,13,3814
3050.0,5,906
3060.0,10,2665
3070.0,27,4770
3080.0,19,4958
3090.0,14,3484
3100.0,12,3364
3110.0,39,10034
3120.0,29,6201
3130.0,15,3826
3140.0,5,906
3150.0,8,2518
3160.0,32,5536
3170.0,15,4110
3180.0,37,10505
3190.0,11,3022
3200.0,18,3724
3210.0,28,5832
3220.0,15,3826
3230.0,12,3364
3240.0,31,7111
3250.0,16,4416
3260.0,11,3022
3270.0,17,3382
3280.0,11,3022
3290.0,5,906
3300.0,14,2905
3310.0,13,3142
3320.0,39,10034
3330.0,11,3022
3340.0,13,3142
3350.0,15,3262
3360.0,14,3511
3370.0,11,3022
3380.0,27,6280
3390.0,13,3814
3400.0,13,3142
3410.0,17,3382
3420.0,12,3391
3430.0,13,3142
3440.0,17,3382
3450.0,23,6040
3460.0,13,3814
3470.0,17,3382
3480.0,14,3511
3490.0,11,3022
3500.0,17,3382
3510.0,11,3022
3520.0,23,6040
3530.0,17,4054
3540.0,12,3391
3550.0,25,4926
3560.0,18,4340
3570.0,14,3484
3580.0,16,3604
3590.0,17,3924
3600.0,37,9109
3610.0,12,3364
3620.0,14,3484
3630.0,16,3604
3640.0,19,2970
3650.0,13,3384
3660.0,13,3733
3670.0,25,6160
3680.0,18,4396
3690.0,30,5952
3700.0,14,3484
3710.0,12,3364
3720.0,19,4093
3730.0,13,3282
3740.0,23,6040
3750.0,13,3814
3760.0,13,3142
3770.0,17,3382
3780.0,12,3391
3790.0,13,3142
3800.0,11,3022
3810.0,27,8048
3820.0,17,4054
3830.0,11,3022
3840.0,14,3511
3850.0,11,3022
3860.0,24,4275
3870.0,15,3262
3880.0,23,6040
3890.0,17,4054
3900.0,14,3511
3910.0,13,3142
3920.0,15,3262
3930.0,13,3142
3940.0,13,3142
3950.0,27,6280
3960.0,14,4183
3970.0,11,3022
3980.0,17,3382
3990.0,11,3022
4000.0,13,3142
4010.0,15,3262
4020.0,12,2273
4030.0,42,9788
4040.0,17,4526
4050.0,14,3484
4060.0,11,3022
4070.0,18,3724
4080.0,29,6201
4090.0,18,4266
4100.0,24,6512
4110.0,12,3364
4120.0,26,5004
4130.0,20,4552
4140.0,15,3853
4150.0,11,3022
4160.0,14,2366
4170.0,44,10880
4180.0,13,3706
4190.0,18,3724
4200.0,24,4655
4210.0,16,3744
4220.0,17,3382
4230.0,27,8048
4240.0,17,4054
4250.0,13,3142
4260.0,14,3511
4270.0,11,3022
4280.0,17,3382
4290.0,11,3022
4300.0,29,8168
4310.0,17,4054
4320.0,12,3391
4330.0,13,3142
4340.0,15,3262
4350.0,13,3142
4360.0,11,3022
4370.0,27,6280
4380.0,14,4183
4390.0,15,3262
4400.0,13,3142
4410.0,11,3022
4420.0,17,3382
4430.0,11,3022
4440.0,28,8417
4450.0,13,3814
4460.0,13,3142
4470.0,17,3382
4480.0,11,3022
4490.0,13,3142
4500.0,11,3022
4510.0,35,8183
4520.0,23,5262
4530.0,12,3364
4540.0,14,3484
4550.0,14,3484
4560.0,32,6384
4570.0,16,3631
4580.0,19,4608
4590.0,19,5930
4600.0,28,5548
4610.0,17,4230
4620.0,18,3724
4630.0,15,3853
4640.0,12,3364
4650.0,40,8850
4660.0,18,4396
4670.0,12,3364
4680.0,14,3484
4690.0,15,3993
4700.0,13,3142
4710.0,11,3022
4720.0,27,6280
4730.0,24,4991
4740.0,11,3022
4750.0,14,3511
4760.0,11,3022
4770.0,17,3382
4780.0,11,3022
4790.0,17,3924
4800.0,23,6170
4810.0,12,3391
4820.0,13,3142
4830.0,15,3262
4840.0,5,906
4850.0,9,2296
4860.0,26,4923
4870.0,40,12171
4880.0,5,906
4890.0,11,2416
4900.0,13,3142
4910.0,11,3022
4920.0,17,3382
4930.0,12,3391
4940.0,23,6040
4950.0,17,4054
4960.0,13,3142
4970.0,13,3142
4980.0,15,3262
4990.0,27,5405
5000.0,15,4110
5010.0,44,12384
5020.0,11,3022
5030.0,14,3484
5040.0,44,6949
5050.0,9,2887
5060.0,14,3484
5070.0,15,3262
5080.0,42,11004
