flow,packets,mean_interval_s,cv,duration_s,classification
TCP|192.168.2.3:34420<->52.94.229.215:443,37,11.114,5.783,400.1,bursty/irregular
TCP|192.168.2.3:53778<->52.46.133.39:443,37,25.003,5.857,900.1,bursty/irregular
TCP|192.168.2.3:55193<->54.239.25.214:443,37,25.006,5.857,900.2,bursty/irregular
TCP|192.168.2.3:55830<->52.94.228.52:443,37,22.226,5.849,800.2,bursty/irregular
TCP|192.168.2.3:53078<->54.239.18.122:443,37,11.115,5.782,400.1,bursty/irregular
TCP|192.168.2.3:33321<->52.46.133.39:443,37,11.116,5.781,400.2,bursty/irregular
TCP|192.168.2.3:36157<->54.239.19.125:443,36,14.29,5.725,500.2,bursty/irregular
TCP|192.168.2.3:48327<->72.21.207.87:443,36,1.955,5.089,68.4,bursty/irregular
TCP|192.168.2.3:53629<->52.94.228.52:443,36,0.915,4.371,32.0,bursty/irregular
TCP|176.32.98.108:443<->192.168.2.3:46363,35,4.265,4.76,145.0,bursty/irregular
TCP|192.168.2.3:41249<->52.94.227.120:443,35,29.416,5.692,1000.1,bursty/irregular
TCP|192.168.2.3:59145<->54.239.18.122:443,35,1.866,4.963,63.4,bursty/irregular
TCP|192.168.2.3:42388<->54.239.18.122:443,35,0.841,4.138,28.6,bursty/irregular
TCP|192.168.2.3:57545<->54.239.19.125:443,34,2.017,4.924,66.6,bursty/irregular
UDP|192.168.69.129:5353<->224.0.0.251:5353,34,4.214,2.718,139.1,bursty/irregular
TCP|192.168.2.3:39905<->52.119.196.25:443,34,2.073,5.404,68.4,bursty/irregular
TCP|192.168.2.3:45199<->72.21.207.87:443,34,0.956,4.172,31.6,bursty/irregular
TCP|192.168.2.3:48224<->52.94.232.206:443,34,9.095,5.487,300.1,bursty/irregular
TCP|192.168.2.3:52146<->72.21.207.87:443,34,0.692,3.767,22.8,bursty/irregular
TCP|192.168.2.3:36878<->52.94.232.206:443,33,12.499,5.441,400.0,bursty/irregular
TCP|192.168.2.3:60696<->52.94.227.120:443,33,1.732,4.704,55.4,bursty/irregular
UDP|192.168.69.192:5353<->224.0.0.251:5353,31,4.503,1.882,135.1,bursty/irregular
TCP|192.168.2.3:33043<->52.119.164.214:443,30,17.038,5.19,494.1,bursty/irregular
TCP|192.168.2.3:48278<->52.119.164.214:443,30,17.034,5.189,494.0,bursty/irregular
TCP|192.168.2.3:36811<->54.239.28.161:443,30,0.024,1.82,0.7,bursty/irregular
TCP|176.32.99.246:443<->192.168.2.3:35088,30,2.199,5.223,63.8,bursty/irregular
TCP|192.168.2.3:56916<->52.119.162.179:443,30,0.308,3.326,8.9,bursty/irregular
TCP|176.32.101.122:443<->192.168.2.3:34333,30,2.499,5.211,72.5,bursty/irregular
TCP|192.168.2.3:41838<->52.46.129.109:443,29,0.314,3.601,8.8,bursty/irregular
TCP|192.168.2.3:45407<->52.119.196.25:443,29,0.075,1.258,2.1,bursty/irregular
TCP|192.168.2.3:52496<->52.119.164.214:443,29,0.328,3.498,9.2,bursty/irregular
TCP|192.168.2.3:60348<->52.119.168.148:443,28,1.357,3.919,36.6,bursty/irregular
TCP|192.168.2.3:52580<->52.119.168.148:443,28,1.355,3.899,36.6,bursty/irregular
TCP|192.168.2.3:43636<->52.119.168.148:443,28,1.372,3.934,37.0,bursty/irregular
TCP|192.168.2.3:54274<->52.119.168.148:443,27,1.395,3.82,36.3,bursty/irregular
TCP|192.168.2.3:41842<->54.239.29.194:443,27,0.034,1.474,0.9,bursty/irregular
TCP|192.168.2.3:41869<->54.239.29.194:443,26,0.033,1.392,0.8,bursty/irregular
TCP|192.168.2.3:32998<->54.239.29.194:443,26,0.027,1.504,0.7,bursty/irregular
UDP|192.168.69.200:5353<->224.0.0.251:5353,26,2.839,3.652,71.0,bursty/irregular
TCP|192.168.2.3:41856<->54.239.29.194:443,25,0.03,1.465,0.7,bursty/irregular
TCP|192.168.2.3:54908<->52.46.157.6:443,24,0.128,2.562,2.9,bursty/irregular
TCP|13.32.99.123:443<->192.168.2.3:51428,24,5.235,4.673,120.4,bursty/irregular
TCP|176.32.101.46:443<->192.168.2.3:48211,24,2.808,4.639,64.6,bursty/irregular
TCP|192.168.2.3:52480<->52.46.133.19:443,24,6.485,4.667,149.2,bursty/irregular
TCP|13.32.118.138:443<->192.168.2.3:33306,24,0.008,1.852,0.2,bursty/irregular
TCP|192.168.2.3:60893<->72.21.195.82:443,24,0.097,2.94,2.2,bursty/irregular
TCP|192.168.2.3:60226<->52.216.104.139:80,24,16.965,3.325,390.2,bursty/irregular
TCP|192.168.2.3:34397<->52.216.96.171:80,23,13.661,4.21,300.5,bursty/irregular
TCP|192.168.2.3:58696<->52.216.132.195:80,23,17.743,3.246,390.3,bursty/irregular
TCP|192.168.2.3:43982<->52.46.157.6:443,23,4.411,4.528,97.0,bursty/irregular
TCP|192.168.2.3:50642<->52.216.169.171:80,22,18.589,3.163,390.4,bursty/irregular
TCP|192.168.2.3:47077<->52.94.240.240:443,22,7.608,4.45,159.8,bursty/irregular
TCP|192.168.2.3:32910<->52.216.18.224:80,22,17.664,3.321,370.9,bursty/irregular
TCP|192.168.2.3:56304<->54.231.50.91:80,21,19.519,3.083,390.4,bursty/irregular
TCP|192.168.2.3:32925<->54.231.40.219:80,21,19.624,3.117,392.5,bursty/irregular
TCP|192.168.2.3:50651<->52.216.164.243:80,21,19.643,3.065,392.9,bursty/irregular
TCP|192.168.2.3:49214<->52.216.227.176:80,21,19.386,3.103,387.7,bursty/irregular
TCP|192.168.2.3:49305<->52.216.161.3:80,21,19.516,3.083,390.3,bursty/irregular
TCP|192.168.2.3:46657<->52.216.160.251:80,21,19.513,3.084,390.3,bursty/irregular
TCP|192.168.2.3:32914<->52.216.86.83:80,21,19.513,3.084,390.3,bursty/irregular
TCP|192.168.2.3:55933<->52.216.169.107:80,21,19.515,3.084,390.3,bursty/irregular
TCP|192.168.2.3:40681<->52.216.128.75:80,21,19.775,3.045,395.5,bursty/irregular
TCP|192.168.2.3:33407<->52.216.228.224:80,21,19.391,3.103,387.8,bursty/irregular
TCP|192.168.2.3:40075<->54.231.82.82:80,21,19.637,3.065,392.7,bursty/irregular
TCP|192.168.2.3:42715<->72.21.207.143:443,21,8.02,4.341,160.4,bursty/irregular
TCP|192.168.2.3:36988<->52.216.65.224:80,21,19.643,3.065,392.9,bursty/irregular
TCP|192.168.2.3:34434<->52.216.232.195:80,21,19.769,3.047,395.4,bursty/irregular
TCP|192.168.2.3:34516<->52.216.133.59:80,21,19.388,3.103,387.8,bursty/irregular
TCP|192.168.2.3:49777<->54.239.26.244:443,21,8.178,4.342,163.6,bursty/irregular
TCP|192.168.2.3:50862<->52.119.196.25:443,21,3.622,4.304,72.4,bursty/irregular
TCP|192.168.2.3:38597<->52.216.226.224:80,20,19.724,3.116,374.8,bursty/irregular
TCP|192.168.2.3:52889<->52.216.165.251:80,20,19.859,3.093,377.3,bursty/irregular
TCP|192.168.2.3:52984<->52.216.16.8:80,19,19.871,3.179,357.7,bursty/irregular
TCP|192.168.2.3:38291<->54.231.33.155:80,16,20.016,3.441,300.2,bursty/irregular
TCP|192.168.2.3:54164<->52.216.102.99:80,16,20.016,3.441,300.2,bursty/irregular
TCP|192.168.2.3:56374<->52.216.100.51:80,16,20.013,3.441,300.2,bursty/irregular
TCP|192.168.2.3:33219<->52.216.100.131:80,16,20.017,3.441,300.3,bursty/irregular
TCP|192.168.2.3:45033<->52.216.168.107:80,16,20.016,3.441,300.2,bursty/irregular
TCP|192.168.2.3:48132<->52.216.100.179:80,16,20.015,3.44,300.2,bursty/irregular
TCP|192.168.2.3:44658<->52.216.104.43:80,16,20.015,3.441,300.2,bursty/irregular
UDP|192.168.69.73:5353<->224.0.0.251:5353,14,9.437,1.174,122.7,bursty/irregular
TCP|192.168.2.3:54924<->52.216.18.120:80,14,23.096,3.181,300.3,bursty/irregular
TCP|192.168.2.3:56146<->52.216.227.0:80,14,23.099,3.18,300.3,bursty/irregular
TCP|192.168.2.3:54364<->52.216.64.208:80,14,23.1,3.183,300.3,bursty/irregular
TCP|192.168.2.3:37004<->54.231.33.211:80,14,23.097,3.183,300.3,bursty/irregular
TCP|192.168.2.3:42398<->52.216.131.3:80,14,23.097,3.182,300.3,bursty/irregular
TCP|192.168.2.3:48102<->52.216.161.219:80,14,23.096,3.183,300.2,bursty/irregular
TCP|192.168.2.3:47610<->52.216.130.235:80,14,23.095,3.182,300.2,bursty/irregular
TCP|192.168.2.3:47852<->52.216.132.59:80,14,23.098,3.182,300.3,bursty/irregular
TCP|192.168.2.3:48644<->54.231.120.227:80,14,23.095,3.182,300.2,bursty/irregular
TCP|192.168.2.3:42749<->52.216.134.83:80,14,23.096,3.183,300.3,bursty/irregular
TCP|192.168.2.3:47897<->52.216.18.80:80,14,23.098,3.182,300.3,bursty/irregular
TCP|192.168.2.3:45754<->52.216.83.32:80,14,23.096,3.181,300.2,bursty/irregular
TCP|192.168.2.3:44675<->52.216.230.235:80,14,23.095,3.183,300.2,bursty/irregular
TCP|192.168.2.3:37068<->54.231.98.104:80,14,23.101,3.183,300.3,bursty/irregular
TCP|192.168.2.3:37411<->52.216.131.83:80,14,23.098,3.181,300.3,bursty/irregular
TCP|192.168.2.3:39049<->54.231.82.138:80,14,23.095,3.178,300.2,bursty/irregular
TCP|192.168.2.3:39042<->52.216.168.91:80,14,23.099,3.18,300.3,bursty/irregular
TCP|192.168.2.3:34712<->52.216.65.0:80,14,23.096,3.182,300.2,bursty/irregular
TCP|192.168.2.3:36743<->52.216.17.216:80,14,23.096,3.183,300.2,bursty/irregular
TCP|192.168.2.3:33969<->52.216.131.91:80,14,23.095,3.183,300.2,bursty/irregular
TCP|192.168.2.3:40011<->52.216.129.187:80,14,23.092,3.183,300.2,bursty/irregular
TCP|192.168.2.3:38308<->52.216.131.3:80,14,23.099,3.183,300.3,bursty/irregular
TCP|192.168.2.3:42197<->52.216.17.40:80,14,23.093,3.181,300.2,bursty/irregular
TCP|192.168.2.3:42315<->52.216.80.0:80,14,23.095,3.183,300.2,bursty/irregular
TCP|192.168.2.3:59312<->52.216.105.243:80,14,23.093,3.182,300.2,bursty/irregular
TCP|192.168.2.3:60193<->54.231.114.154:80,14,23.096,3.182,300.2,bursty/irregular
TCP|192.168.2.3:59800<->54.231.81.48:80,14,23.092,3.183,300.2,bursty/irregular
TCP|192.168.2.3:58211<->52.216.16.224:80,14,23.096,3.183,300.2,bursty/irregular
TCP|192.168.2.3:58631<->54.231.82.146:80,14,23.097,3.183,300.3,bursty/irregular
TCP|13.32.99.94:80<->192.168.2.3:55197,13,2.495,3.123,29.9,bursty/irregular
TCP|192.168.2.3:47575<->52.216.64.112:80,11,2.342,2.959,23.4,bursty/irregular
TCP|192.168.2.3:36786<->52.216.65.248:80,11,2.33,2.952,23.3,bursty/irregular
TCP|13.32.99.46:80<->192.168.2.3:42487,10,3.128,2.822,28.2,bursty/irregular
TCP|104.199.64.136:80<->192.168.2.3:50021,10,0.014,1.089,0.1,bursty/irregular
TCP|104.199.64.136:80<->192.168.2.3:50020,10,0.013,0.953,0.1,bursty/irregular
TCP|192.168.2.3:34339<->72.21.214.79:80,9,0.087,1.275,0.7,bursty/irregular
TCP|192.168.2.3:40673<->93.184.216.34:80,9,0.076,1.085,0.6,bursty/irregular
TCP|192.168.2.3:41915<->52.94.241.86:80,9,0.088,1.246,0.7,bursty/irregular
TCP|13.32.118.30:80<->192.168.2.3:38803,9,0.034,1.991,0.3,bursty/irregular
TCP|192.168.2.3:58536<->52.94.241.86:80,9,0.051,1.033,0.4,bursty/irregular
TCP|192.168.2.3:44751<->52.94.241.86:80,9,0.094,1.34,0.8,bursty/irregular
TCP|172.217.23.238:80<->192.168.2.3:47125,9,30.009,2.645,240.1,bursty/irregular
TCP|192.168.2.3:56078<->72.21.214.79:80,9,0.09,1.333,0.7,bursty/irregular
TCP|192.168.2.3:60965<->72.21.214.79:80,8,0.051,1.106,0.4,bursty/irregular
TCP|192.168.2.3:34992<->52.94.241.86:80,8,0.054,1.008,0.4,bursty/irregular
TCP|176.32.98.203:80<->192.168.2.3:51089,8,0.049,1.05,0.3,bursty/irregular
TCP|176.32.98.203:80<->192.168.2.3:47785,8,0.052,0.982,0.4,bursty/irregular
TCP|192.168.2.3:46120<->72.21.214.79:80,8,0.051,1.055,0.4,bursty/irregular
TCP|192.168.2.3:59481<->52.94.241.86:80,8,0.049,1.096,0.3,bursty/irregular
TCP|176.32.98.203:80<->192.168.2.3:58710,8,0.048,1.112,0.3,bursty/irregular
TCP|176.32.98.203:80<->192.168.2.3:58739,8,0.059,0.898,0.4,bursty/irregular
TCP|176.32.98.203:80<->192.168.2.3:55013,8,0.048,1.11,0.3,bursty/irregular
TCP|176.32.98.203:80<->192.168.2.3:55901,8,0.051,1.091,0.4,bursty/irregular
TCP|176.32.98.203:80<->192.168.2.3:56482,8,0.048,1.128,0.3,bursty/irregular
TCP|176.32.98.203:80<->192.168.2.3:56695,8,0.05,1.131,0.3,bursty/irregular
TCP|176.32.98.203:80<->192.168.2.3:57970,8,0.061,0.859,0.4,bursty/irregular
TCP|192.168.2.3:49616<->72.21.214.79:80,8,0.051,1.045,0.4,bursty/irregular
TCP|192.168.2.3:50266<->72.21.214.79:80,8,0.057,0.912,0.4,bursty/irregular
TCP|192.168.2.3:50427<->52.94.241.86:80,8,0.066,1.214,0.5,bursty/irregular
TCP|192.168.2.3:51169<->72.21.214.79:80,8,0.051,1.119,0.4,bursty/irregular
TCP|192.168.2.3:51205<->72.21.214.79:80,8,0.05,1.079,0.4,bursty/irregular
TCP|192.168.2.3:51558<->52.94.241.86:80,8,0.05,1.083,0.3,bursty/irregular
TCP|176.32.98.203:80<->192.168.2.3:54924,8,0.05,1.124,0.4,bursty/irregular
TCP|176.32.98.203:80<->192.168.2.3:52806,8,0.051,1.059,0.4,bursty/irregular
TCP|176.32.98.203:80<->192.168.2.3:58175,8,0.05,1.1,0.3,bursty/irregular
TCP|176.32.98.203:80<->192.168.2.3:34940,8,0.049,1.122,0.3,bursty/irregular
TCP|176.32.98.203:80<->192.168.2.3:33102,8,0.05,1.099,0.3,bursty/irregular
TCP|176.32.98.203:80<->192.168.2.3:51042,8,0.058,0.884,0.4,bursty/irregular
TCP|176.32.98.203:80<->192.168.2.3:48754,8,0.051,0.999,0.4,bursty/irregular
TCP|176.32.98.203:80<->192.168.2.3:50218,8,0.052,0.99,0.4,bursty/irregular
TCP|176.32.98.203:80<->192.168.2.3:49912,8,0.051,1.013,0.4,bursty/irregular
TCP|176.32.98.203:80<->192.168.2.3:49909,8,0.048,1.126,0.3,bursty/irregular
TCP|192.168.2.3:38431<->52.94.241.86:80,8,0.054,1.011,0.4,bursty/irregular
TCP|192.168.2.3:41223<->52.94.241.86:80,8,0.048,1.131,0.3,bursty/irregular
TCP|192.168.2.3:37805<->52.94.241.86:80,8,0.054,1.061,0.4,bursty/irregular
TCP|192.168.2.3:38280<->72.21.214.79:80,8,0.049,1.104,0.3,bursty/irregular
TCP|192.168.2.3:47112<->52.94.241.86:80,8,0.05,1.123,0.4,bursty/irregular
TCP|192.168.2.3:36435<->72.21.214.79:80,8,0.05,1.116,0.4,bursty/irregular
TCP|192.168.2.3:33697<->52.94.241.86:80,8,0.051,1.068,0.4,bursty/irregular
TCP|192.168.2.3:33490<->52.94.241.86:80,8,0.048,1.129,0.3,bursty/irregular
TCP|192.168.2.3:36484<->72.21.214.79:80,8,0.051,1.111,0.4,bursty/irregular
TCP|192.168.2.3:37415<->72.21.214.79:80,8,0.05,1.082,0.4,bursty/irregular
TCP|192.168.2.3:43201<->72.21.214.79:80,8,0.049,1.096,0.3,bursty/irregular
TCP|192.168.2.3:36407<->72.21.214.79:80,8,0.053,1.0,0.4,bursty/irregular
TCP|192.168.2.3:45108<->72.21.214.79:80,8,0.052,1.131,0.4,bursty/irregular
TCP|192.168.2.3:46998<->72.21.214.79:80,8,0.05,1.104,0.4,bursty/irregular
TCP|192.168.2.3:45229<->52.94.241.86:80,8,0.05,1.098,0.3,bursty/irregular
TCP|192.168.2.3:33978<->72.21.214.79:80,8,0.049,1.129,0.3,bursty/irregular
TCP|192.168.2.3:40232<->72.21.214.79:80,8,0.054,0.988,0.4,bursty/irregular
TCP|192.168.2.3:39272<->72.21.214.79:80,8,0.068,1.182,0.5,bursty/irregular
TCP|192.168.2.3:40965<->72.21.214.79:80,8,0.05,1.136,0.4,bursty/irregular
TCP|176.32.98.203:80<->192.168.2.3:45033,8,0.068,0.724,0.5,bursty/irregular
TCP|176.32.98.203:80<->192.168.2.3:43216,8,0.07,0.663,0.5,bursty/irregular
TCP|192.168.2.3:47308<->72.21.214.79:80,8,0.051,1.101,0.4,bursty/irregular
TCP|176.32.98.203:80<->192.168.2.3:38291,8,0.051,1.098,0.4,bursty/irregular
TCP|176.32.98.203:80<->192.168.2.3:40954,8,0.051,1.122,0.4,bursty/irregular
TCP|176.32.98.203:80<->192.168.2.3:32862,8,0.048,1.09,0.3,bursty/irregular
TCP|192.168.2.3:59218<->52.94.241.86:80,8,0.048,1.129,0.3,bursty/irregular
UDP|192.168.69.129:57621<->192.168.69.255:57621,8,18.198,1.161,127.4,bursty/irregular
TCP|192.168.2.3:58788<->52.94.241.86:80,8,0.056,1.132,0.4,bursty/irregular
TCP|192.168.2.3:59497<->52.94.241.86:80,8,0.048,1.132,0.3,bursty/irregular
TCP|192.168.2.3:60730<->72.21.214.79:80,8,0.05,1.087,0.4,bursty/irregular
TCP|192.168.2.3:59013<->52.94.241.86:80,8,0.048,1.128,0.3,bursty/irregular
TCP|192.168.2.3:59094<->72.21.214.79:80,8,0.051,1.128,0.4,bursty/irregular
TCP|192.168.2.3:54800<->52.94.241.86:80,8,0.053,1.028,0.4,bursty/irregular
TCP|176.32.98.203:80<->192.168.2.3:42275,8,0.048,1.109,0.3,bursty/irregular
TCP|192.168.2.3:53394<->72.21.214.79:80,8,0.051,1.091,0.4,bursty/irregular
TCP|192.168.2.3:53427<->72.21.214.79:80,8,0.05,1.13,0.3,bursty/irregular
TCP|192.168.2.3:54030<->52.94.241.86:80,8,0.067,1.21,0.5,bursty/irregular
TCP|192.168.2.3:54312<->52.94.241.86:80,8,0.05,1.128,0.4,bursty/irregular
TCP|192.168.2.3:53554<->72.21.214.79:80,8,0.052,1.112,0.4,bursty/irregular
TCP|192.168.2.3:53806<->72.21.214.79:80,8,0.05,1.089,0.3,bursty/irregular
TCP|192.168.2.3:57967<->72.21.214.79:80,8,0.071,1.226,0.5,bursty/irregular
TCP|192.168.2.3:54422<->72.21.214.79:80,8,0.073,0.879,0.5,bursty/irregular
TCP|176.32.98.203:80<->192.168.2.3:40276,8,0.05,1.113,0.4,bursty/irregular
TCP|176.32.98.203:80<->192.168.2.3:40948,8,0.049,1.075,0.3,bursty/irregular
TCP|176.32.98.203:80<->192.168.2.3:41400,8,0.05,1.086,0.4,bursty/irregular
TCP|176.32.98.203:80<->192.168.2.3:41346,8,0.054,0.942,0.4,bursty/irregular
TCP|176.32.98.203:80<->192.168.2.3:37512,8,0.051,1.103,0.4,bursty/irregular
TCP|176.32.98.203:80<->192.168.2.3:37759,8,0.05,1.14,0.3,bursty/irregular
UDP|192.168.69.241:5353<->224.0.0.251:5353,8,0.322,1.133,2.3,bursty/irregular
TCP|192.168.2.3:58012<->52.94.241.86:80,8,0.051,1.107,0.4,bursty/irregular
TCP|192.168.2.3:57174<->72.21.214.79:80,8,0.05,1.076,0.3,bursty/irregular
TCP|192.168.2.3:55192<->72.21.214.79:80,8,0.051,1.093,0.4,bursty/irregular
2|192.168.2.3:nan<->224.0.0.22:nan,8,908.418,2.446,6358.9,bursty/irregular
TCP|192.168.2.3:33054<->52.94.241.86:80,8,0.051,1.073,0.4,bursty/irregular
TCP|192.168.2.3:49085<->72.21.214.79:80,8,0.051,1.116,0.4,bursty/irregular
TCP|192.168.2.3:49464<->52.94.241.86:80,8,0.054,1.076,0.4,bursty/irregular
TCP|192.168.2.3:32812<->52.94.241.86:80,8,0.057,1.065,0.4,bursty/irregular
TCP|176.32.98.203:80<->192.168.2.3:60866,8,0.053,1.01,0.4,bursty/irregular
TCP|176.32.98.203:80<->192.168.2.3:46786,8,0.049,1.046,0.3,bursty/irregular
TCP|176.32.98.203:80<->192.168.2.3:45631,8,0.049,1.075,0.3,bursty/irregular
TCP|13.32.118.30:80<->192.168.2.3:38818,7,0.005,0.9,0.0,bursty/irregular
TCP|13.32.118.117:80<->192.168.2.3:36266,7,0.006,0.842,0.0,bursty/irregular
TCP|192.168.2.3:40634<->93.184.216.34:80,7,0.042,1.256,0.3,bursty/irregular
TCP|192.168.2.3:40671<->93.184.216.34:80,7,0.041,1.324,0.2,bursty/irregular
TCP|13.32.118.248:80<->192.168.2.3:38522,6,0.008,1.066,0.0,bursty/irregular
TCP|13.32.118.248:80<->192.168.2.3:38515,6,0.008,0.74,0.0,bursty/irregular
TCP|192.168.2.3:40641<->93.184.216.34:80,6,0.049,1.202,0.2,bursty/irregular
TCP|192.168.2.3:40640<->93.184.216.34:80,6,0.048,1.203,0.2,bursty/irregular
TCP|13.32.118.30:80<->192.168.2.3:38830,6,0.006,0.736,0.0,bursty/irregular
TCP|13.32.118.248:80<->192.168.2.3:38531,6,0.006,1.071,0.0,bursty/irregular
TCP|13.32.118.248:80<->192.168.2.3:38523,6,0.007,0.462,0.0,continuous/high-rate
TCP|13.32.118.248:80<->192.168.2.3:38525,6,0.005,0.945,0.0,bursty/irregular
TCP|13.32.118.248:80<->192.168.2.3:38552,6,0.006,0.986,0.0,bursty/irregular
TCP|13.32.118.248:80<->192.168.2.3:38541,6,0.006,1.086,0.0,bursty/irregular
TCP|13.32.118.30:80<->192.168.2.3:38808,6,0.014,0.728,0.1,bursty/irregular
TCP|13.32.118.30:80<->192.168.2.3:38802,6,0.005,0.889,0.0,bursty/irregular
TCP|13.32.118.30:80<->192.168.2.3:38815,6,0.006,0.982,0.0,bursty/irregular
TCP|13.32.118.30:80<->192.168.2.3:38820,6,0.008,0.687,0.0,bursty/irregular
TCP|13.32.118.30:80<->192.168.2.3:38824,6,0.005,1.064,0.0,bursty/irregular
TCP|13.32.118.30:80<->192.168.2.3:38827,6,0.005,1.053,0.0,bursty/irregular
TCP|13.32.118.248:80<->192.168.2.3:38528,6,0.006,0.98,0.0,bursty/irregular
TCP|13.32.118.117:80<->192.168.2.3:36268,6,0.005,0.643,0.0,bursty/irregular
TCP|13.32.118.117:80<->192.168.2.3:36269,6,0.007,0.777,0.0,bursty/irregular
TCP|13.32.118.117:80<->192.168.2.3:36273,6,0.007,0.768,0.0,bursty/irregular
TCP|13.32.118.117:80<->192.168.2.3:36285,6,0.005,0.956,0.0,bursty/irregular
TCP|13.32.118.248:80<->192.168.2.3:38510,6,0.015,0.97,0.1,bursty/irregular
TCP|13.32.118.117:80<->192.168.2.3:36258,6,0.008,0.765,0.0,bursty/irregular
TCP|13.32.118.117:80<->192.168.2.3:36239,6,0.007,1.019,0.0,bursty/irregular
TCP|13.32.118.117:80<->192.168.2.3:36261,6,0.015,0.995,0.1,bursty/irregular
TCP|13.32.118.248:80<->192.168.2.3:38514,6,0.005,0.943,0.0,bursty/irregular
